id,volume
4814-457,7957318.0
4814-458,10201976.0
4814-459,14712970.0
4814-460,10261145.0
4814-461,10261145.0
4814-462,10848353.0
4814-463,10213229.0
6011-457,193144096.0
6011-458,277000896.0
6011-459,277305920.0
6011-460,277305920.0
6011-461,277305920.0
6011-462,283456224.0
6011-463,252680208.0
4829-457,176436576.0
4829-458,275706880.0
4829-459,276010464.0
4829-460,276010464.0
4829-461,276010464.0
4829-462,282132032.0
4829-463,225646016.0
5499-457,5726835.0
5499-458,5496539.5
5499-459,5907452.0
5499-460,5873068.0
5499-461,5919938.5
5499-462,6882151.0
5499-463,6907025.0
5541-457,6215027.5
5541-458,6856772.0
5541-459,7951742.0
5541-460,6535219.0
5541-461,8151709.0
5541-462,8478918.0
5541-463,8411314.0
5200-457,1167881.875
5200-458,1130799.625
5200-459,1070024.5
5200-460,1114455.875
5200-461,958098.5625
5200-462,987532.0
5200-463,1164794.125
5732-457,2863380.0
5732-458,2738081.0
5732-459,1949728.125
5732-460,2641413.5
5732-461,2230661.75
5732-462,2445318.25
5732-463,2614873.75
6010-457,44455.8515625
6010-458,15651930.0
6010-459,15865939.0
6010-460,8396015.0
6010-461,21257716.0
6010-462,8949025.0
6010-463,5975360.5
5331-457,3691979.5
5331-458,3818796.25
5331-459,3734758.5
5331-460,4017248.75
5331-461,3849085.0
5331-462,4347577.5
5331-463,5538540.0
5912-457,3499982.5
5912-458,4964478.5
5912-459,4721645.5
5912-460,4806752.0
5912-461,4412329.0
5912-462,4474791.5
5912-463,4550538.0
5411-457,26824902.0
5411-458,25140278.0
5411-459,25167960.0
5411-460,27341978.0
5411-461,27466432.0
5411-462,31281674.0
5411-463,30602938.0
5812-457,3884786.5
5812-458,3306415.0
5812-459,3761563.75
5812-460,3671653.0
5812-461,3997158.75
5812-462,5255970.5
5812-463,5721556.0
6012-457,2079336.125
6012-458,1929464.375
6012-459,2117645.5
6012-460,1900319.0
6012-461,1833947.5
6012-462,3040312.5
6012-463,1881752.875
5719-457,529265.75
5719-458,471281.6875
5719-459,667384.0
5719-460,500573.3125
5719-461,538218.625
5719-462,881522.875
5719-463,904159.125
5722-457,3338369.0
5722-458,2191845.75
5722-459,2065359.5
5722-460,1933240.25
5722-461,2174415.25
5722-462,2409773.0
5722-463,2877236.5
5621-457,1225472.625
5621-458,923337.5
5621-459,1054931.25
5621-460,1156669.0
5621-461,1045414.8125
5621-462,1122946.0
5621-463,1512750.5
5814-457,2173816.25
5814-458,1774142.375
5814-459,2098780.75
5814-460,2086065.5
5814-461,2180429.0
5814-462,2319762.5
5814-463,2375630.25
5921-457,1269639.125
5921-458,1187081.375
5921-459,1254192.875
5921-460,1250787.5
5921-461,1315874.25
5921-462,1788388.0
5921-463,1672803.875
5941-457,1710708.75
5941-458,1404774.25
5941-459,1468819.5
5941-460,1333496.0
5941-461,1459989.0
5941-462,1391896.25
5941-463,2042551.375
5691-457,6225592.5
5691-458,4027740.75
5691-459,2852203.0
5691-460,3371236.0
5691-461,8624779.0
5691-462,3728210.5
5691-463,6017426.0
5813-457,287817.28125
5813-458,238702.046875
5813-459,295710.4375
5813-460,292982.78125
5813-461,290902.71875
5813-462,313612.0625
5813-463,361240.59375
5211-457,2259277.5
5211-458,2681053.25
5211-459,3127311.75
5211-460,2604878.0
5211-461,2334937.25
5211-462,2877738.5
5211-463,2973145.5
4812-457,1211070.625
4812-458,1214428.125
4812-459,1308774.25
4812-460,1089179.5
4812-461,1144724.0
4812-462,1183187.75
4812-463,1175504.75
5945-457,1023466.5625
5945-458,731171.125
5945-459,746063.8125
5945-460,805387.5
5945-461,839566.5
5945-462,890150.75
5945-463,1060057.5
5983-457,1031305.8125
5983-458,1036125.5625
5983-459,1044434.25
5983-460,1072811.875
5983-461,1099752.75
5983-462,1113621.875
5983-463,1099755.875
5999-457,3360159.25
5999-458,3548453.25
5999-459,3442074.5
5999-460,3541482.25
5999-461,3109320.0
5999-462,3711696.5
5999-463,4527897.5
5943-457,158033.65625
5943-458,152827.375
5943-459,167665.75
5943-460,167429.421875
5943-461,150410.21875
5943-462,167689.734375
5943-463,152512.296875
5533-457,1813445.75
5533-458,2226077.75
5533-459,2480072.5
5533-460,2466477.0
5533-461,2564600.75
5533-462,3340725.75
5533-463,2304277.25
6300-457,743.7801513671875
6300-458,126149.828125
6300-459,162485.1875
6300-460,73888.0234375
6300-461,91079.015625
6300-462,111578.09375
6300-463,20187.001953125
7832-457,271895.03125
7832-458,192701.234375
7832-459,210331.3125
7832-460,218796.15625
7832-461,216304.21875
7832-462,258807.40625
7832-463,313295.8125
8099-457,790222.0
8099-458,1221125.75
8099-459,1289749.875
8099-460,1299166.5
8099-461,1399409.625
8099-462,1250779.125
8099-463,1081570.5
5992-457,221438.609375
5992-458,283039.34375
5992-459,263796.96875
5992-460,267970.09375
5992-461,278370.46875
5992-462,270407.625
5992-463,325655.59375
3501-457,625.6984252929688
3501-458,942.6742553710938
3501-459,1349.95458984375
3501-460,482.4132995605469
3501-461,681.4622802734375
3501-462,2136.105712890625
3501-463,862.6380004882812
6536-457,81135.359375
6536-458,183756.328125
6536-459,189959.15625
6536-460,182105.09375
6536-461,200521.375
6536-462,190729.75
6536-463,158238.0
7997-457,355574.25
7997-458,491409.84375
7997-459,440491.78125
7997-460,494320.75
7997-461,718615.125
7997-462,532981.0625
7997-463,493444.6875
5641-457,1353509.0
5641-458,1063981.125
5641-459,1104037.0
5641-460,1227833.25
5641-461,1144422.75
5641-462,1346117.375
5641-463,1502030.5
4722-457,566227.875
4722-458,843392.0
4722-459,848760.1875
4722-460,652596.4375
4722-461,839015.0
4722-462,655396.875
4722-463,566526.625
5661-457,3971200.0
5661-458,2491798.25
5661-459,2729698.75
5661-460,2491389.5
5661-461,2976354.0
5661-462,2755737.5
5661-463,4582520.5
5651-457,2843691.0
5651-458,1626002.5
5651-459,1475081.625
5651-460,1612010.875
5651-461,1779958.75
5651-462,1724333.25
5651-463,1917681.625
7011-457,1804320.125
7011-458,1705218.0
7011-459,1483177.125
7011-460,1355547.375
7011-461,1440471.75
7011-462,1362607.25
7011-463,1113368.0
5699-457,1533533.625
5699-458,1128248.875
5699-459,1190232.75
5699-460,1154364.75
5699-461,1197151.875
5699-462,1234069.25
5699-463,1555028.0
5942-457,249598.828125
5942-458,288996.6875
5942-459,281955.5
5942-460,286502.75
5942-461,292239.9375
5942-462,293398.5625
5942-463,309407.28125
7298-457,99306.71875
7298-458,111723.4375
7298-459,126943.8203125
7298-460,146168.3125
7298-461,160460.046875
7298-462,144407.265625
7298-463,114531.5
7999-457,142577.65625
7999-458,144125.765625
7999-459,133613.796875
7999-460,113388.5078125
7999-461,154677.6875
7999-462,177448.953125
7999-463,131984.109375
5712-457,3431124.75
5712-458,2389069.0
5712-459,2401282.75
5712-460,2188597.75
5712-461,1827067.625
5712-462,2119322.5
5712-463,4449540.0
5511-457,270322.0
5511-458,314862.625
5511-459,374599.125
5511-460,407948.0625
5511-461,442433.5
5511-462,389605.4375
5511-463,538910.0
5422-457,11086.77734375
5422-458,20012.921875
5422-459,16935.6484375
5422-460,26473.595703125
5422-461,20321.01953125
5422-462,26665.16015625
5422-463,25487.30859375
5399-457,227556.96875
5399-458,277662.8125
5399-459,279077.25
5399-460,280308.5
5399-461,276807.5
5399-462,248269.609375
5399-463,285804.6875
4900-457,1296282.875
4900-458,1565818.5
4900-459,1504770.5
4900-460,1631688.0
4900-461,1662542.5
4900-462,1674387.125
4900-463,1232457.875
7538-457,325811.5625
7538-458,358577.78125
7538-459,445321.34375
7538-460,430851.5625
7538-461,490690.0625
7538-462,509484.25
7538-463,476558.3125
5949-457,27507.9375
5949-458,36191.5546875
5949-459,34585.92578125
5949-460,22038.619140625
5949-461,26664.14453125
5949-462,32124.953125
5949-463,37235.3828125
5977-457,2084786.625
5977-458,2094913.25
5977-459,1906232.625
5977-460,2132812.0
5977-461,2156665.0
5977-462,2056730.75
5977-463,2466091.25
5948-457,143175.828125
5948-458,94748.78125
5948-459,111064.359375
5948-460,100916.96875
5948-461,72433.65625
5948-462,86349.09375
5948-463,106187.53125
5631-457,231687.578125
5631-458,217810.578125
5631-459,188349.875
5631-460,196631.484375
5631-461,222313.5625
5631-462,219010.96875
5631-463,254190.875
5311-457,1467752.5
5311-458,1223247.0
5311-459,1220933.625
5311-460,1477268.0
5311-461,1431847.25
5311-462,1406444.5
5311-463,1516958.75
5462-457,7380.54541015625
5462-458,14267.80859375
5462-459,15128.98046875
5462-460,15383.974609375
5462-461,15306.4521484375
5462-462,17878.74609375
5462-463,18524.603515625
4112-457,1084749.0
4112-458,1137160.75
4112-459,1309490.875
4112-460,1341328.5
4112-461,1378806.0
4112-462,1373477.75
4112-463,1136611.0
8999-457,905906.875
8999-458,1070519.5
8999-459,1295046.0
8999-460,1124370.25
8999-461,1223698.625
8999-462,1140644.0
8999-463,939120.25
8021-457,24817.69140625
8021-458,220822.8125
8021-459,204980.640625
8021-460,224675.375
8021-461,252761.015625
8021-462,194224.65625
8021-463,173797.671875
5714-457,45537.8984375
5714-458,64284.09375
5714-459,68420.2109375
5714-460,67267.125
5714-461,63698.4765625
5714-462,72446.3671875
5714-463,78451.40625
5251-457,278875.59375
5251-458,231958.84375
5251-459,253577.5625
5251-460,260360.59375
5251-461,298958.3125
5251-462,292365.375
5251-463,291584.875
4789-457,52710.9609375
4789-458,73637.5859375
4789-459,65982.1484375
4789-460,71109.640625
4789-461,62198.078125
4789-462,82272.578125
4789-463,64479.77734375
7542-457,52004.21875
7542-458,54738.890625
7542-459,55196.84765625
7542-460,53377.703125
7542-461,59268.3828125
7542-462,71737.1875
7542-463,64214.12109375
5947-457,150809.953125
5947-458,168801.671875
5947-459,137938.6875
5947-460,163855.5
5947-461,168933.25
5947-462,176345.125
5947-463,214288.78125
3000-457,1853517.375
3000-458,2103616.0
3000-459,2333154.25
3000-460,1561642.75
3000-461,2362091.25
3000-462,2110657.5
3000-463,2044646.5
8043-457,134358.875
8043-458,178272.296875
8043-459,210544.234375
8043-460,187317.53125
8043-461,203630.78125
8043-462,176338.578125
8043-463,213905.328125
5944-457,984828.0625
5944-458,938047.0
5944-459,1175134.875
5944-460,1232235.75
5944-461,1134706.0
5944-462,1079337.625
5944-463,1195291.25
5734-457,89108.0703125
5734-458,76249.359375
5734-459,85855.421875
5734-460,68273.6171875
5734-461,69128.5625
5734-462,81203.7109375
5734-463,90799.8359375
5611-457,210846.4375
5611-458,136173.25
5611-459,133068.515625
5611-460,197636.90625
5611-461,181012.1875
5611-462,161601.84375
5611-463,276149.90625
5532-457,89948.5625
5532-458,53781.9921875
5532-459,98118.6796875
5532-460,90365.828125
5532-461,30820.830078125
5532-462,96813.09375
5532-463,60479.9765625
4816-457,226176.390625
4816-458,283035.28125
4816-459,285543.40625
4816-460,261456.40625
4816-461,262285.3125
4816-462,261188.0
4816-463,233550.84375
7311-457,192737.0625
7311-458,286489.375
7311-459,262894.59375
7311-460,266590.0625
7311-461,276916.8125
7311-462,242025.140625
7311-463,216069.1875
5655-457,455631.9375
5655-458,311708.21875
5655-459,347135.375
5655-460,430723.8125
5655-461,359322.3125
5655-462,327073.625
5655-463,484208.03125
6051-457,431566.6875
6051-458,463258.84375
6051-459,481081.75
6051-460,538358.3125
6051-461,503214.9375
6051-462,576534.625
6051-463,480629.59375
7994-457,211992.890625
7994-458,208338.34375
7994-459,202153.46875
7994-460,224958.390625
7994-461,222626.09375
7994-462,226730.984375
7994-463,255621.015625
5995-457,379355.0625
5995-458,357851.5
5995-459,383882.4375
5995-460,370362.375
5995-461,434378.65625
5995-462,432049.75
5995-463,412562.8125
5309-457,30052.509765625
5309-458,36936.234375
5309-459,43223.1328125
5309-460,30230.1015625
5309-461,24872.830078125
5309-462,39243.59375
5309-463,32740.96484375
5964-457,309476.03125
5964-458,336377.46875
5964-459,366185.0625
5964-460,312217.875
5964-461,358875.0625
5964-462,327402.25
5964-463,289418.9375
8299-457,226.48622131347656
8299-458,554.7005004882812
8299-459,2099.3642578125
8299-460,1479.06298828125
8299-461,1375.472900390625
8299-462,851.31591796875
8299-463,905.3087768554688
8244-457,1.2608006000518799
8244-458,2.548717975616455
8244-459,2.05954909324646
8244-460,1.9062228202819824
8244-461,1.9062228202819824
8244-462,2.1870524883270264
8244-463,2.284632921218872
4111-457,126413.09375
4111-458,134202.265625
4111-459,133773.296875
4111-460,135985.453125
4111-461,132447.875
4111-462,140711.90625
4111-463,131035.0703125
4511-457,2515287.0
4511-458,4681998.0
4511-459,3119385.5
4511-460,3190057.0
4511-461,3949856.0
4511-462,3086056.0
4511-463,2466902.75
9399-457,29218.423828125
9399-458,67528.6015625
9399-459,89665.75
9399-460,79126.4609375
9399-461,73894.78125
9399-462,63712.75390625
9399-463,51607.68359375
5441-457,15286.990234375
5441-458,16688.740234375
5441-459,21233.3828125
5441-460,22096.9609375
5441-461,21801.32421875
5441-462,25268.80078125
5441-463,19598.751953125
7922-457,79635.34375
7922-458,216497.59375
7922-459,172861.25
7922-460,183654.875
7922-461,183338.65625
7922-462,233582.015625
7922-463,166386.8125
5261-457,1992132.75
5261-458,1335620.125
5261-459,1556612.625
5261-460,1524104.75
5261-461,1592044.125
5261-462,1574791.75
5261-463,2009071.25
7699-457,48.4462776184082
7699-458,37.46030807495117
7699-459,57.845924377441406
7699-460,53.3714714050293
7699-461,71.04096984863281
7699-462,119.69075012207031
7699-463,95.72549438476562
7995-457,1570382.5
7995-458,1729112.0
7995-459,1698884.25
7995-460,2307019.25
7995-461,1542295.5
7995-462,1679112.375
7995-463,1905741.875
7629-457,1.3403682708740234
7629-458,2.1981899738311768
7629-459,2.61071515083313
7629-460,2.083780288696289
7629-461,1.9058434963226318
7629-462,2.7869224548339844
7629-463,2.1454687118530273
5816-457,68967.1640625
5816-458,73641.09375
5816-459,72719.171875
5816-460,75849.6640625
5816-461,73053.171875
5816-462,74408.8984375
5816-463,87489.1953125
5735-457,207155.9375
5735-458,251840.421875
5735-459,256595.796875
5735-460,232409.90625
5735-461,228723.359375
5735-462,244490.234375
5735-463,231203.96875
5039-457,713.635498046875
5039-458,1010.2760009765625
5039-459,1056.1241455078125
5039-460,1572.0904541015625
5039-461,718.2379150390625
5039-462,1122.6287841796875
5039-463,2219.563720703125
