id,volume
4814-457,8340080.5
4814-458,10421065.0
4814-459,14945321.0
4814-460,10511917.0
4814-461,10511917.0
4814-462,11020199.0
4814-463,10330033.0
6011-457,197259552.0
6011-458,294348960.0
6011-459,296916256.0
6011-460,296916256.0
6011-461,296916256.0
6011-462,303348160.0
6011-463,248486784.0
4829-457,179636320.0
4829-458,293714688.0
4829-459,296276448.0
4829-460,296276448.0
4829-461,296276448.0
4829-462,232621024.0
4829-463,225564672.0
5499-457,5759198.0
5499-458,5591367.0
5499-459,5903211.5
5499-460,5961904.0
5499-461,6034408.0
5499-462,6836387.0
5499-463,7082982.5
5541-457,6315260.0
5541-458,6989689.5
5541-459,7983275.5
5541-460,6619497.5
5541-461,7763156.0
5541-462,8411771.0
5541-463,8365675.0
5200-457,1160385.75
5200-458,1157874.25
5200-459,1060726.875
5200-460,1121123.75
5200-461,980722.0
5200-462,1011986.625
5200-463,1155017.75
5732-457,3036203.75
5732-458,2708577.5
5732-459,1984795.75
5732-460,2593354.5
5732-461,2221808.5
5732-462,2572292.0
5732-463,2710432.75
6010-457,34745.2109375
6010-458,12812727.0
6010-459,16716271.0
6010-460,7140972.5
6010-461,15726263.0
6010-462,7859506.0
6010-463,5739049.0
5331-457,3687869.25
5331-458,3796714.0
5331-459,3668356.0
5331-460,4016195.25
5331-461,3849019.0
5331-462,4303073.5
5331-463,5246155.5
5912-457,3665628.0
5912-458,4903085.5
5912-459,4670033.5
5912-460,4814395.0
5912-461,4403786.5
5912-462,4415490.0
5912-463,4460718.0
5411-457,27807854.0
5411-458,25200000.0
5411-459,25419794.0
5411-460,28076192.0
5411-461,28255032.0
5411-462,31280720.0
5411-463,30617476.0
5812-457,3918961.0
5812-458,3321154.5
5812-459,3861133.0
5812-460,3651877.0
5812-461,3989911.25
5812-462,5186361.0
5812-463,4977145.0
6012-457,2030645.5
6012-458,1870420.25
6012-459,2131329.5
6012-460,1803767.875
6012-461,1882329.0
6012-462,2673704.5
6012-463,1782840.0
5719-457,528480.4375
5719-458,475745.5
5719-459,607624.0
5719-460,503813.25
5719-461,542053.125
5719-462,858428.5625
5719-463,947689.8125
5722-457,3372281.25
5722-458,2202866.25
5722-459,2133314.25
5722-460,1899166.75
5722-461,2241533.25
5722-462,2431899.5
5722-463,2844363.75
5621-457,1257521.25
5621-458,973921.75
5621-459,1054720.0
5621-460,1169715.5
5621-461,1052979.25
5621-462,1140997.625
5621-463,1505162.25
5814-457,2129736.75
5814-458,1841264.0
5814-459,2050837.125
5814-460,2024179.875
5814-461,2179040.5
5814-462,2264517.25
5814-463,2318004.25
5921-457,1288961.75
5921-458,1198545.5
5921-459,1249495.125
5921-460,1304576.0
5921-461,1317896.125
5921-462,1848116.25
5921-463,1734932.875
5941-457,1713795.0
5941-458,1385215.5
5941-459,1435392.375
5941-460,1317732.75
5941-461,1413788.375
5941-462,1413745.25
5941-463,2027499.0
5691-457,5564748.0
5691-458,4282097.5
5691-459,2943744.0
5691-460,3597149.5
5691-461,6660798.0
5691-462,3874175.5
5691-463,6077556.0
5813-457,288358.25
5813-458,239127.671875
5813-459,300955.59375
5813-460,299089.1875
5813-461,288688.4375
5813-462,316629.0
5813-463,353879.0625
5211-457,2362332.5
5211-458,2651926.5
5211-459,3080595.5
5211-460,2707552.0
5211-461,2329852.5
5211-462,2976765.5
5211-463,3038782.0
4812-457,1194530.0
4812-458,1165967.75
4812-459,1278098.125
4812-460,1095856.0
4812-461,1110532.375
4812-462,1204805.0
4812-463,1157190.875
5945-457,1033832.625
5945-458,736761.0625
5945-459,763127.125
5945-460,837678.25
5945-461,874356.75
5945-462,914668.75
5945-463,1089877.75
5983-457,1013777.5
5983-458,1011293.9375
5983-459,1039565.9375
5983-460,1048186.125
5983-461,1087541.625
5983-462,1108870.875
5983-463,1083769.75
5999-457,3511245.5
5999-458,3617025.75
5999-459,3507450.5
5999-460,3863446.25
5999-461,3254046.0
5999-462,3816626.25
5999-463,4422747.5
5943-457,140506.46875
5943-458,146754.40625
5943-459,153525.203125
5943-460,151564.03125
5943-461,142716.0
5943-462,157859.53125
5943-463,145504.0625
5533-457,1835783.0
5533-458,2268842.75
5533-459,2478665.5
5533-460,2468303.0
5533-461,2419991.5
5533-462,3354751.0
5533-463,2290922.25
6300-457,894.1244506835938
6300-458,129528.9609375
6300-459,137384.40625
6300-460,90142.5546875
6300-461,84253.3671875
6300-462,113930.484375
6300-463,35877.7265625
7832-457,269136.15625
7832-458,189512.75
7832-459,211551.0
7832-460,216625.4375
7832-461,212384.453125
7832-462,254049.578125
7832-463,309985.5625
8099-457,770082.75
8099-458,1211455.25
8099-459,1297931.875
8099-460,1286825.75
8099-461,1400659.375
8099-462,1244951.5
8099-463,1088325.0
5992-457,220558.046875
5992-458,294644.375
5992-459,264430.4375
5992-460,259434.84375
5992-461,278475.625
5992-462,274068.3125
5992-463,323074.5
3501-457,489.25927734375
3501-458,908.7466430664062
3501-459,1321.3109130859375
3501-460,1764.271728515625
3501-461,1933.7119140625
3501-462,2956.0859375
3501-463,2540.4384765625
6536-457,103887.0625
6536-458,166968.28125
6536-459,116236.203125
6536-460,151841.515625
6536-461,223005.390625
6536-462,167106.875
6536-463,163515.1875
7997-457,348722.75
7997-458,435818.90625
7997-459,373138.6875
7997-460,402417.0625
7997-461,594495.5625
7997-462,451311.1875
7997-463,430648.625
5641-457,1382177.75
5641-458,1068025.25
5641-459,1094323.875
5641-460,1218334.0
5641-461,1141561.375
5641-462,1314411.75
5641-463,1506449.0
4722-457,505757.625
4722-458,838363.125
4722-459,837905.9375
4722-460,749867.875
4722-461,824489.875
4722-462,716772.625
4722-463,548009.3125
5661-457,4112111.25
5661-458,2570276.25
5661-459,2821168.5
5661-460,2607932.75
5661-461,3117604.0
5661-462,2942068.5
5661-463,4526162.0
5651-457,2676026.0
5651-458,1620031.0
5651-459,1473515.375
5651-460,1637482.25
5651-461,1779553.0
5651-462,1710772.375
5651-463,1957671.0
7011-457,1712826.0
7011-458,1677455.875
7011-459,1464278.25
7011-460,1358908.75
7011-461,1439665.5
7011-462,1383005.75
7011-463,1144766.625
5699-457,1510837.25
5699-458,1098735.875
5699-459,1168295.125
5699-460,1161931.625
5699-461,1187444.75
5699-462,1216992.75
5699-463,1583253.25
5942-457,250019.546875
5942-458,292652.125
5942-459,285034.90625
5942-460,292163.5625
5942-461,298436.71875
5942-462,292607.75
5942-463,310965.9375
7298-457,115748.265625
7298-458,114532.265625
7298-459,140320.328125
7298-460,147115.65625
7298-461,165969.375
7298-462,155106.65625
7298-463,114028.96875
7999-457,131601.140625
7999-458,130229.40625
7999-459,133429.40625
7999-460,113650.609375
7999-461,144739.6875
7999-462,186131.21875
7999-463,126597.8046875
5712-457,3239959.5
5712-458,2366012.0
5712-459,2463916.75
5712-460,2247604.0
5712-461,1846511.25
5712-462,2086769.875
5712-463,4387061.5
5511-457,175543.75
5511-458,196783.4375
5511-459,272631.125
5511-460,329796.4375
5511-461,334055.5625
5511-462,342333.5
5511-463,429627.625
5422-457,9716.740234375
5422-458,19505.19921875
5422-459,17786.97265625
5422-460,27567.84375
5422-461,19966.78515625
5422-462,27341.8515625
5422-463,26814.935546875
5399-457,226342.96875
5399-458,278941.8125
5399-459,284623.9375
5399-460,293243.3125
5399-461,295534.78125
5399-462,247834.8125
5399-463,289984.78125
4900-457,1293605.5
4900-458,1564525.75
4900-459,1534149.5
4900-460,1630653.5
4900-461,1644110.625
4900-462,1644527.75
4900-463,1278779.625
7538-457,318265.03125
7538-458,352131.84375
7538-459,440223.84375
7538-460,424813.875
7538-461,490839.8125
7538-462,532307.0
7538-463,466585.5625
5949-457,32101.400390625
5949-458,22311.349609375
5949-459,21405.662109375
5949-460,23137.109375
5949-461,23735.5625
5949-462,30603.46875
5949-463,35708.10546875
5977-457,2116506.75
5977-458,2049967.0
5977-459,1957172.5
5977-460,2145883.75
5977-461,2159950.0
5977-462,2097842.25
5977-463,2461105.75
5948-457,160806.875
5948-458,105237.34375
5948-459,112886.25
5948-460,109901.65625
5948-461,77711.3046875
5948-462,99183.015625
5948-463,116339.7890625
5631-457,234520.171875
5631-458,210514.125
5631-459,183457.078125
5631-460,182007.875
5631-461,213147.203125
5631-462,216532.078125
5631-463,252132.890625
5311-457,1488209.75
5311-458,1172433.75
5311-459,1184898.375
5311-460,1394924.625
5311-461,1413245.125
5311-462,1386804.25
5311-463,1508320.75
5462-457,7394.86376953125
