id,volume
4814-457,8099487.0
4814-458,10542699.0
4814-459,12816222.0
4814-460,10837144.0
4814-461,10744772.0
4814-462,11410731.0
4814-463,9478467.0
6011-457,196950512.0
6011-458,298243296.0
6011-459,302829600.0
6011-460,302829600.0
6011-461,302829600.0
6011-462,304725408.0
6011-463,263877872.0
4829-457,176180320.0
4829-458,297133248.0
4829-459,301702496.0
4829-460,301702496.0
4829-461,301702496.0
4829-462,190057568.0
4829-463,227906016.0
5499-457,6075412.0
5499-458,5688303.0
5499-459,6299566.5
5499-460,6209825.5
5499-461,6254747.0
5499-462,6702785.0
5499-463,6936406.5
5541-457,6481981.0
5541-458,7056048.0
5541-459,7572641.0
5541-460,6758442.0
5541-461,7648574.0
5541-462,7804615.0
5541-463,7804615.0
5200-457,1151032.75
5200-458,1134111.0
5200-459,1066971.5
5200-460,1110229.625
5200-461,939449.0
5200-462,963770.25
5200-463,1208644.25
5732-457,2778879.5
5732-458,2739520.0
5732-459,1932989.5
5732-460,2669954.0
5732-461,2223262.5
5732-462,2509922.0
5732-463,2791698.75
6010-457,20012.2734375
6010-458,26086216.0
6010-459,18354576.0
6010-460,19270058.0
6010-461,26073284.0
6010-462,16771681.0
6010-463,4794240.0
5331-457,3748736.0
5331-458,4438609.5
5331-459,3710542.5
5331-460,3834137.5
5331-461,3933380.25
5331-462,4252759.0
5331-463,5253455.0
5912-457,3585822.75
5912-458,4888877.5
5912-459,4611644.0
5912-460,4629535.0
5912-461,4433850.0
5912-462,4463118.0
5912-463,4612106.0
5411-457,28969030.0
5411-458,24772616.0
5411-459,25153564.0
5411-460,27301852.0
5411-461,28249536.0
5411-462,31112030.0
5411-463,31112030.0
5812-457,3920721.5
5812-458,3295717.75
5812-459,3704245.75
5812-460,3673320.0
5812-461,3947856.25
5812-462,5106368.0
5812-463,4733774.0
6012-457,2036286.75
6012-458,1866683.375
6012-459,2085888.375
6012-460,1826207.0
6012-461,1914434.5
6012-462,2654925.0
6012-463,1776539.875
5719-457,476975.25
5719-458,440822.9375
5719-459,602041.625
5719-460,496530.96875
5719-461,553474.25
5719-462,825153.0
5719-463,902660.875
5722-457,3268121.75
5722-458,2156237.25
5722-459,2111982.25
5722-460,1856273.375
5722-461,2165731.5
5722-462,2404942.75
5722-463,2845595.5
5621-457,1231826.875
5621-458,890408.875
5621-459,954732.0
5621-460,1130856.875
5621-461,1027214.625
5621-462,1038683.0
5621-463,1557506.5
5814-457,2103317.25
5814-458,1813183.0
5814-459,2029692.875
5814-460,2078188.375
5814-461,2155398.25
5814-462,2258861.75
5814-463,2391517.25
5921-457,1256334.5
5921-458,1154077.5
5921-459,1223781.5
5921-460,1262014.5
5921-461,1258613.125
5921-462,1818270.375
5921-463,1754615.5
5941-457,1749332.375
5941-458,1381524.125
5941-459,1441410.25
5941-460,1337620.25
5941-461,1422579.5
5941-462,1400909.25
5941-463,2133967.5
5691-457,6014741.0
5691-458,4493068.0
5691-459,3325712.5
5691-460,3706397.75
5691-461,6564358.5
5691-462,4179621.0
5691-463,6313532.0
5813-457,279907.28125
5813-458,195419.890625
5813-459,260809.15625
5813-460,276182.28125
5813-461,264818.5625
5813-462,284538.15625
5813-463,346479.1875
5211-457,2583665.25
5211-458,2883769.0
5211-459,3345431.5
5211-460,2976961.5
5211-461,2487358.5
5211-462,3190023.75
5211-463,3372352.0
4812-457,1163754.75
4812-458,1182612.375
4812-459,1283684.25
4812-460,1161066.5
4812-461,1153994.875
4812-462,1183231.75
4812-463,1201156.75
5945-457,1029504.5625
5945-458,713301.6875
5945-459,748793.875
5945-460,810092.625
5945-461,851833.5
5945-462,939185.625
5945-463,1158310.5
5983-457,997488.4375
5983-458,1015607.4375
5983-459,1030587.125
5983-460,1046945.3125
5983-461,1108146.75
5983-462,1111657.75
5983-463,1095566.5
5999-457,3526525.0
5999-458,3517922.5
5999-459,3423094.5
5999-460,3755649.25
5999-461,3330708.25
5999-462,3809927.5
5999-463,4489110.5
5943-457,130750.5859375
5943-458,142135.0625
5943-459,148211.390625
5943-460,146619.125
5943-461,149711.5625
5943-462,154791.015625
5943-463,148052.46875
5533-457,1941430.625
5533-458,2473779.75
5533-459,2660656.0
5533-460,2658801.75
5533-461,2638742.25
5533-462,3483960.75
5533-463,2519027.0
6300-457,1394.606201171875
6300-458,70326.3046875
6300-459,95894.2890625
6300-460,65586.8984375
6300-461,79517.109375
6300-462,89971.0390625
6300-463,16318.798828125
7832-457,254074.53125
7832-458,162987.71875
7832-459,190724.65625
7832-460,197719.6875
7832-461,199193.09375
7832-462,241078.34375
7832-463,304790.8125
8099-457,719390.0
8099-458,1227046.625
8099-459,1282291.875
8099-460,1373481.75
8099-461,1465542.5
8099-462,1223227.25
8099-463,1043316.25
5992-457,212449.484375
5992-458,301750.8125
5992-459,268043.4375
5992-460,270607.8125
5992-461,266857.90625
5992-462,271824.5
5992-463,331426.53125
3501-457,1197.490966796875
3501-458,2283.9619140625
3501-459,2809.03662109375
3501-460,2906.66552734375
3501-461,1171.6767578125
3501-462,525.335693359375
3501-463,595.0673828125
6536-457,65590.0234375
6536-458,163616.265625
6536-459,198736.5625
6536-460,200128.0
6536-461,168509.25
6536-462,148465.46875
6536-463,128459.5546875
7997-457,322425.34375
7997-458,413816.3125
7997-459,360315.40625
7997-460,411277.46875
7997-461,557647.125
7997-462,464180.46875
7997-463,433459.96875
5641-457,1392464.5
5641-458,1067497.75
