id,volume
4814-457,8373888.5
4814-458,10785571.0
4814-459,15527994.0
4814-460,11150356.0
4814-461,11150356.0
4814-462,11734118.0
4814-463,9878141.0
6011-457,202274720.0
6011-458,350348352.0
6011-459,362199744.0
6011-460,362199744.0
6011-461,362199744.0
6011-462,365471072.0
6011-463,277620800.0
4829-457,170899936.0
4829-458,318377600.0
4829-459,332328192.0
4829-460,332328192.0
4829-461,332328192.0
4829-462,164507472.0
4829-463,229995552.0
5499-457,5631857.5
5499-458,5577908.5
5499-459,5856512.5
5499-460,6112059.0
5499-461,6048656.5
5499-462,6848328.5
5499-463,7261649.0
5541-457,7087868.0
5541-458,7385351.0
5541-459,8468493.0
5541-460,7488130.0
5541-461,8881340.0
5541-462,9197031.0
5541-463,9221218.0
5200-457,1099532.5
5200-458,1104824.875
5200-459,1027844.6875
5200-460,1118021.0
5200-461,989436.1875
5200-462,1024918.0
5200-463,1249902.75
5732-457,2909187.5
5732-458,2594198.0
5732-459,2099972.0
5732-460,2810947.0
5732-461,2355475.5
5732-462,2665735.5
5732-463,3021123.5
6010-457,59356.625
6010-458,21107782.0
6010-459,16778976.0
6010-460,11928956.0
6010-461,24808412.0
6010-462,16410499.0
6010-463,4697070.0
5331-457,3936341.0
5331-458,3578911.25
5331-459,3820071.0
5331-460,4271427.5
5331-461,3987815.25
5331-462,4336637.0
5331-463,5395874.0
5912-457,3666656.0
5912-458,4751739.5
5912-459,4723420.0
5912-460,4739972.0
5912-461,4495854.0
5912-462,4490956.0
5912-463,4609744.5
5411-457,30299582.0
5411-458,25221060.0
5411-459,26074228.0
5411-460,30726348.0
5411-461,30726348.0
5411-462,31935846.0
5411-463,32014154.0
5812-457,4094587.5
5812-458,3440791.25
5812-459,3825382.75
5812-460,3921144.25
5812-461,4228534.0
5812-462,5280025.5
5812-463,5749150.0
6012-457,2023240.0
6012-458,1859429.0
6012-459,2167411.5
6012-460,1863526.25
6012-461,1957956.625
6012-462,2759542.75
6012-463,1688211.75
5719-457,371072.28125
5719-458,319351.65625
5719-459,408384.0625
5719-460,386604.84375
5719-461,466235.5
5719-462,755932.3125
5719-463,287694.59375
5722-457,3762055.25
5722-458,2292415.0
5722-459,2260723.75
5722-460,2021168.75
5722-461,2449099.25
5722-462,2589499.0
5722-463,3103510.5
5621-457,1240579.25
5621-458,923995.5
5621-459,982020.0625
5621-460,1127316.375
5621-461,998571.625
5621-462,1056689.25
5621-463,1553323.5
5814-457,2065200.0
5814-458,1853611.0
5814-459,2066368.25
5814-460,2027160.625
5814-461,2154296.75
5814-462,2280620.0
5814-463,2392037.25
5921-457,1273357.0
5921-458,1194362.5
5921-459,1258946.75
5921-460,1342490.5
5921-461,1346111.0
5921-462,1929828.75
5921-463,1842711.5
5941-457,1783173.25
5941-458,1405011.375
5941-459,1476998.875
5941-460,1381661.125
5941-461,1439728.75
5941-462,1508576.75
5941-463,2282504.5
5691-457,6555812.5
5691-458,4738900.5
5691-459,3080342.75
5691-460,3837623.75
5691-461,9432118.0
5691-462,4364468.5
5691-463,7429679.5
5813-457,271125.46875
5813-458,218240.15625
5813-459,290169.84375
5813-460,289081.03125
5813-461,277490.75
5813-462,298559.40625
5813-463,407095.78125
5211-457,2455362.0
5211-458,2662686.5
5211-459,3413331.0
5211-460,2842948.25
5211-461,2547702.25
5211-462,2942144.0
5211-463,3346523.0
4812-457,1167832.875
4812-458,1153067.5
4812-459,1273516.0
4812-460,1124734.875
4812-461,1172403.625
4812-462,1264497.5
4812-463,1232725.875
5945-457,984215.875
5945-458,700422.375
5945-459,741162.75
5945-460,806192.125
5945-461,819085.375
5945-462,924342.75
5945-463,1155784.625
5983-457,960256.4375
5983-458,997494.1875
5983-459,1050925.625
5983-460,1044971.25
5983-461,1086154.75
5983-462,1094116.25
5983-463,1105109.375
5999-457,3478274.0
5999-458,3684965.5
5999-459,3573291.0
5999-460,4085815.0
5999-461,3466607.25
5999-462,3964328.25
5999-463,4769300.0
5943-457,115311.953125
5943-458,119195.3125
5943-459,132335.375
5943-460,136322.9375
5943-461,125225.546875
5943-462,129780.8359375
5943-463,114899.421875
5533-457,1859482.125
5533-458,2431034.5
5533-459,2605886.75
5533-460,2760659.0
5533-461,2539583.25
5533-462,3638333.5
5533-463,2561650.25
6300-457,11661.921875
6300-458,191454.875
6300-459,303706.1875
6300-460,285716.9375
6300-461,380831.8125
6300-462,415274.71875
6300-463,13026.2197265625
7832-457,270648.84375
7832-458,178900.25
7832-459,203443.46875
7832-460,218285.53125
7832-461,212174.71875
7832-462,240359.5625
7832-463,316821.40625
8099-457,726931.375
8099-458,1192242.375
8099-459,1298742.875
8099-460,1296130.875
8099-461,1407654.875
8099-462,1251610.875
8099-463,1073045.25
5992-457,185727.984375
5992-458,302812.53125
5992-459,268109.90625
5992-460,267843.875
5992-461,288251.28125
5992-462,263377.15625
5992-463,379079.125
3501-457,1038.7294921875
3501-458,2562.586669921875
3501-459,6517.80224609375
3501-460,153.4381866455078
3501-461,7574.9677734375
3501-462,2199.584716796875
3501-463,453.29412841796875
6536-457,8341.6455078125
6536-458,47411.51953125
6536-459,39787.734375
6536-460,41208.9609375
6536-461,106451.765625
6536-462,42515.5625
6536-463,11832.2177734375
7997-457,277444.15625
7997-458,345818.9375
7997-459,310432.0
7997-460,332505.78125
7997-461,529243.5625
7997-462,383106.0
7997-463,402430.875
5641-457,1328150.25
5641-458,1006234.625
5641-459,996504.375
5641-460,1203481.0
5641-461,1108978.75
5641-462,1309157.5
5641-463,1606121.375
4722-457,656055.375
4722-458,762669.5
4722-459,770036.5
4722-460,881121.125
4722-461,402842.125
4722-462,682357.5
4722-463,414246.3125
5661-457,4071139.75
5661-458,2481307.5
5661-459,2829491.75
5661-460,2508447.75
5661-461,3269135.0
5661-462,3063024.25
5661-463,5007110.0
5651-457,2953270.5
5651-458,1558273.25
5651-459,1432022.0
5651-460,1608994.375
5651-461,1690881.5
5651-462,1673440.5
5651-463,2046488.125
7011-457,963864.0
7011-458,1540574.125
7011-459,1536282.75
7011-460,1370025.375
7011-461,1394766.375
7011-462,1472189.375
7011-463,1237163.625
5699-457,1420803.375
5699-458,1049520.5
5699-459,1138913.5
5699-460,1149555.125
5699-461,1239792.75
5699-462,1243068.625
5699-463,1703621.75
5942-457,231033.59375
5942-458,259561.546875
5942-459,262839.6875
5942-460,271531.71875
5942-461,278399.65625
5942-462,274489.4375
5942-463,306945.875
7298-457,123560.8125
7298-458,132257.40625
7298-459,152209.78125
7298-460,174629.5625
7298-461,185435.4375
7298-462,184042.71875
7298-463,143392.28125
7999-457,129433.015625
7999-458,104721.8359375
7999-459,147175.296875
7999-460,123771.5703125
7999-461,160097.171875
7999-462,181062.078125
7999-463,132189.9375
5712-457,3362560.25
5712-458,2450853.75
5712-459,2528269.0
5712-460,2401788.75
5712-461,2032910.5
5712-462,2072794.625
5712-463,4610742.5
5511-457,182868.40625
5511-458,327630.90625
5511-459,291252.75
5511-460,389602.09375
5511-461,232967.34375
5511-462,330985.90625
5511-463,481768.625
5422-457,18567.072265625
5422-458,15134.103515625
5422-459,18201.05859375
5422-460,23965.59765625
5422-461,20247.662109375
5422-462,31557.6171875
5422-463,23738.2109375
5399-457,227296.90625
5399-458,284774.0625
5399-459,302313.9375
5399-460,313471.53125
5399-461,301770.09375
5399-462,232204.3125
5399-463,318928.90625
