id,volume
4814-457,8012014.5
4814-458,10241280.0
4814-459,14833032.0
4814-460,10427905.0
4814-461,10480826.0
4814-462,11129236.0
4814-463,9950471.0
6011-457,188514528.0
6011-458,294332128.0
6011-459,301007552.0
6011-460,301007552.0
6011-461,301007552.0
6011-462,301878624.0
6011-463,254401792.0
4829-457,171215104.0
4829-458,286751584.0
4829-459,297122464.0
4829-460,297122464.0
4829-461,297122464.0
4829-462,197342336.0
4829-463,220333184.0
5499-457,5658582.0
5499-458,5452730.0
5499-459,5892052.5
5499-460,6014231.0
5499-461,5831789.0
5499-462,6654918.5
5499-463,7014979.0
5541-457,6506110.0
5541-458,7129513.5
5541-459,8344392.5
5541-460,6812748.5
5541-461,8476638.0
5541-462,8604388.0
5541-463,8709061.0
5200-457,1140352.5
5200-458,1105332.875
5200-459,1060215.125
5200-460,1156575.25
5200-461,983711.9375
5200-462,941711.25
5200-463,1143942.625
5732-457,2940637.75
5732-458,2792186.0
5732-459,2020305.375
5732-460,2669600.0
5732-461,2274620.75
5732-462,2472475.5
5732-463,2785951.25
6010-457,55864.390625
6010-458,23748100.0
6010-459,18489114.0
6010-460,13894906.0
6010-461,28332204.0
6010-462,14238665.0
6010-463,5517047.5
5331-457,3698417.75
5331-458,3761269.5
5331-459,3614157.0
5331-460,3892221.75
5331-461,3864385.75
5331-462,4105618.25
5331-463,4994915.0
5912-457,3517218.0
5912-458,4657180.0
5912-459,4597491.0
5912-460,4656145.5
5912-461,4287475.0
5912-462,4268679.0
5912-463,4241175.0
5411-457,28507942.0
5411-458,24559872.0
5411-459,25134380.0
5411-460,28459698.0
5411-461,29305756.0
5411-462,30682658.0
5411-463,30682658.0
5812-457,4083395.75
5812-458,3253844.0
5812-459,3828025.0
5812-460,3681014.0
5812-461,3918785.25
5812-462,5065456.0
5812-463,5383271.0
6012-457,2002802.25
6012-458,1863067.75
6012-459,2140967.5
6012-460,1826313.25
6012-461,1902012.5
6012-462,2768315.0
6012-463,1790157.5
5719-457,500067.53125
5719-458,454757.1875
5719-459,615196.4375
5719-460,488543.5625
5719-461,569922.125
5719-462,817725.75
5719-463,906588.8125
5722-457,3635545.0
5722-458,2235924.5
5722-459,2157617.5
5722-460,2001692.875
5722-461,2336541.0
5722-462,2450419.25
5722-463,2941577.5
5621-457,1224863.875
5621-458,963453.25
5621-459,1031266.5
5621-460,1103806.5
5621-461,1020561.0625
5621-462,1063447.5
5621-463,1534156.75
5814-457,2052968.125
5814-458,1817372.375
5814-459,2004206.625
5814-460,1969081.5
5814-461,2098730.75
5814-462,2169082.25
5814-463,2321324.75
5921-457,1298222.75
5921-458,1179957.0
5921-459,1267940.25
5921-460,1281723.375
5921-461,1318918.375
5921-462,1828127.25
5921-463,1699133.75
5941-457,1737290.625
5941-458,1403419.125
5941-459,1448907.75
5941-460,1297117.625
5941-461,1420792.5
5941-462,1375076.75
5941-463,2063422.25
5691-457,7074301.0
5691-458,4628660.5
5691-459,3302728.0
5691-460,3981290.5
5691-461,8707807.0
5691-462,4363969.0
5691-463,6983113.0
5813-457,275007.71875
5813-458,229909.5625
5813-459,291058.65625
5813-460,287277.0625
5813-461,271956.75
5813-462,293691.9375
5813-463,354186.0
5211-457,2478843.0
5211-458,2653155.75
5211-459,3203685.0
5211-460,2828242.5
5211-461,2392377.25
5211-462,2906697.0
5211-463,3109548.5
4812-457,1181282.25
4812-458,1172124.125
4812-459,1258179.875
4812-460,1092981.625
4812-461,1130032.125
4812-462,1152997.125
4812-463,1168033.375
5945-457,996945.4375
5945-458,737034.4375
5945-459,767881.9375
5945-460,806810.5
5945-461,829493.3125
5945-462,871978.5
5945-463,1085367.875
5983-457,994170.25
5983-458,1033226.5
5983-459,1026521.25
5983-460,1044374.5
5983-461,1105989.75
5983-462,1065867.125
5983-463,1090895.75
5999-457,3513426.25
5999-458,3559234.5
5999-459,3539763.5
5999-460,3929998.0
5999-461,3390323.0
5999-462,3939349.0
5999-463,4634849.0
5943-457,115513.703125
5943-458,121122.5078125
5943-459,146832.796875
5943-460,136436.734375
5943-461,134825.71875
5943-462,140223.875
5943-463,137214.578125
5533-457,1835070.625
5533-458,2300860.5
5533-459,2531977.5
5533-460,2588486.75
5533-461,2521240.5
5533-462,3449912.5
5533-463,2414000.75
6300-457,841.0274658203125
6300-458,103316.96875
6300-459,153804.8125
6300-460,96041.2734375
6300-461,69905.1015625
6300-462,119306.5390625
6300-463,21770.53125
7832-457,263806.5
7832-458,180769.625
7832-459,198677.625
7832-460,208324.03125
7832-461,210752.5625
7832-462,246333.796875
7832-463,305067.625
8099-457,757775.75
8099-458,1193669.125
8099-459,1282230.75
8099-460,1296126.0
8099-461,1361561.625
8099-462,1211037.125
8099-463,1068440.875
5992-457,206335.3125
5992-458,291269.4375
5992-459,271256.875
5992-460,261275.453125
5992-461,281237.65625
5992-462,266752.3125
5992-463,338463.0
3501-457,57.985801696777344
3501-458,224.1209716796875
3501-459,559.9446411132812
3501-460,454.34423828125
3501-461,411.56536865234375
3501-462,791.6434936523438
3501-463,339.07830810546875
6536-457,21812.3046875
6536-458,98012.8125
6536-459,139673.859375
6536-460,121122.96875
6536-461,110692.1484375
6536-462,101546.8125
6536-463,65045.40234375
7997-457,312845.875
7997-458,438137.21875
7997-459,383516.125
7997-460,418899.125
7997-461,558303.25
7997-462,463558.46875
7997-463,424172.21875
5641-457,1338634.75
5641-458,1084290.875
5641-459,1110604.5
5641-460,1190908.25
5641-461,1165308.5
5641-462,1264795.375
5641-463,1487121.625
4722-457,660680.875
4722-458,965585.4375
4722-459,952555.625
4722-460,766615.375
