id,volume
4814-457,7369921.0
4814-458,9932136.0
4814-459,13910074.0
4814-460,10166351.0
4814-461,10189277.0
4814-462,10308205.0
4814-463,9147608.0
6011-457,174430256.0
6011-458,224249440.0
6011-459,226423328.0
6011-460,227011008.0
6011-461,227308656.0
6011-462,227308656.0
6011-463,208280448.0
4829-457,157724432.0
4829-458,223832384.0
4829-459,226002208.0
4829-460,226588800.0
4829-461,226885904.0
4829-462,226885904.0
4829-463,191193424.0
5499-457,5279799.0
5499-458,5047671.0
5499-459,5405758.0
5499-460,5390797.5
5499-461,5413600.0
5499-462,6133956.0
5499-463,5990640.5
5541-457,6148375.5
5541-458,6709794.5
5541-459,7542147.0
5541-460,6387399.5
5541-461,7736984.5
5541-462,8008279.0
5541-463,7883505.5
5200-457,1153167.625
5200-458,1123827.75
5200-459,1094955.5
5200-460,1154418.75
5200-461,1003290.0
5200-462,1009505.5
5200-463,1171073.875
5732-457,2770885.0
5732-458,2756733.5
5732-459,2025902.5
5732-460,2616270.5
5732-461,2328104.5
5732-462,2426038.75
5732-463,2543990.0
6010-457,38359.8046875
6010-458,16692821.0
6010-459,7246955.0
6010-460,10877775.0
6010-461,15692704.0
6010-462,13103670.0
6010-463,2927606.5
5331-457,3541624.0
5331-458,3643090.25
5331-459,3459783.75
5331-460,3638677.0
5331-461,3534225.0
5331-462,3893725.25
5331-463,4746993.0
5912-457,3412846.0
5912-458,4229413.5
5912-459,4072343.5
5912-460,3981746.25
5912-461,4004851.25
5912-462,3942829.5
5912-463,3990790.25
5411-457,26173234.0
5411-458,22689096.0
5411-459,23499468.0
5411-460,25993636.0
5411-461,26020720.0
5411-462,29040838.0
5411-463,29040838.0
5812-457,3656923.5
5812-458,3224276.5
5812-459,3431893.75
5812-460,3441234.25
5812-461,3743623.5
5812-462,4399941.0
5812-463,5309175.0
6012-457,2086449.5
6012-458,1866877.5
6012-459,2077290.75
6012-460,1957773.625
6012-461,1881998.75
6012-462,3052022.5
6012-463,1883494.375
5719-457,536775.6875
5719-458,492424.09375
5719-459,666259.0
5719-460,489353.03125
5719-461,577044.5625
5719-462,836239.875
5719-463,828823.5
5722-457,3212475.0
5722-458,2099519.5
5722-459,2108931.0
5722-460,1947182.5
5722-461,2137894.75
5722-462,2411423.75
5722-463,2716154.0
5621-457,1284076.125
5621-458,1007716.375
5621-459,1090241.625
5621-460,1198779.875
5621-461,1073049.25
5621-462,1135065.25
5621-463,1564715.25
5814-457,2075063.25
5814-458,1847360.25
5814-459,2042054.75
5814-460,2031383.375
5814-461,2072183.875
5814-462,2145032.5
5814-463,2233674.0
5921-457,1272167.375
5921-458,1220277.0
5921-459,1311046.625
5921-460,1274294.75
5921-461,1296083.875
5921-462,1717229.0
5921-463,1672500.75
5941-457,1701019.25
5941-458,1447746.125
5941-459,1457731.0
5941-460,1393106.0
5941-461,1483675.125
5941-462,1449467.5
5941-463,1959120.25
5691-457,6636437.5
5691-458,4378342.5
5691-459,3230219.5
5691-460,3769981.75
5691-461,8156157.0
5691-462,3951856.5
5691-463,6035875.5
5813-457,292825.78125
5813-458,236979.78125
5813-459,294334.875
5813-460,284731.15625
5813-461,278850.84375
5813-462,303980.625
5813-463,347388.375
5211-457,2384080.0
5211-458,2645293.25
5211-459,3096444.75
5211-460,2708877.0
5211-461,2387511.0
5211-462,2862596.5
5211-463,3040672.0
4812-457,1198290.75
4812-458,1178224.25
4812-459,1286310.5
4812-460,1101390.125
4812-461,1143829.125
4812-462,1161018.875
4812-463,1151733.375
5945-457,1006871.0
5945-458,761064.5
5945-459,759565.75
5945-460,834283.5
5945-461,852040.6875
5945-462,884201.125
5945-463,1055458.5
5983-457,1068598.875
5983-458,1029972.0625
5983-459,1049006.125
5983-460,1071260.0
5983-461,1118458.25
5983-462,1100282.5
5983-463,1103710.75
5999-457,3429283.0
5999-458,3504040.25
5999-459,3486969.0
5999-460,3663499.75
5999-461,3204055.0
5999-462,3732689.75
5999-463,4265403.0
5943-457,125021.6171875
5943-458,139095.625
5943-459,145459.65625
5943-460,143148.25
5943-461,146557.890625
5943-462,138755.515625
5943-463,139044.703125
5533-457,2003478.5
5533-458,2328839.5
5533-459,2480945.5
5533-460,2574054.0
5533-461,2505853.5
5533-462,3334312.25
5533-463,2436558.5
6300-457,5141.0986328125
6300-458,213761.96875
6300-459,73753.625
6300-460,98462.9765625
6300-461,194402.5625
6300-462,181684.25
6300-463,33136.99609375
7832-457,288819.78125
7832-458,184712.3125
7832-459,208170.515625
7832-460,219247.53125
7832-461,214082.0625
7832-462,259215.96875
7832-463,324742.875
8099-457,810333.75
8099-458,1180417.375
8099-459,1230120.0
8099-460,1306980.625
8099-461,1378045.0
8099-462,1263889.875
8099-463,1121314.0
5992-457,226749.140625
5992-458,304881.5
5992-459,290092.65625
5992-460,286150.5
5992-461,298617.21875
5992-462,282064.96875
5992-463,339284.8125
3501-457,326.07025146484375
3501-458,505.1573791503906
3501-459,691.0357055664062
3501-460,498.119384765625
3501-461,393.860595703125
3501-462,427.4356689453125
3501-463,447.28009033203125
6536-457,23933.25390625
6536-458,128104.7734375
6536-459,94436.296875
6536-460,99909.9375
6536-461,160830.640625
6536-462,102811.8515625
6536-463,67168.015625
7997-457,416761.3125
7997-458,514916.53125
7997-459,419102.125
7997-460,507021.46875
7997-461,630840.375
7997-462,494802.3125
7997-463,555536.125
5641-457,1347606.125
5641-458,1057583.5
5641-459,1079748.5
5641-460,1244366.25
5641-461,1148737.5
5641-462,1303841.0
5641-463,1474221.0
4722-457,589203.5
4722-458,767643.25
4722-459,813275.6875
4722-460,534139.6875
4722-461,624806.375
4722-462,590229.3125
4722-463,515811.53125
5661-457,3782961.75
5661-458,2525066.5
5661-459,2812561.5
5661-460,2573619.5
5661-461,3010390.25
5661-462,2752304.5
5661-463,4307072.5
5651-457,2921284.0
5651-458,1629826.375
5651-459,1476652.5
5651-460,1616888.5
5651-461,1687630.5
5651-462,1678718.5
5651-463,1882316.5
7011-457,1916084.0
7011-458,1650163.0
7011-459,1373705.75
7011-460,1328137.5
7011-461,1456533.125
7011-462,1376917.75
7011-463,1259967.75
5699-457,1438282.25
5699-458,1130987.375
5699-459,1183772.375
5699-460,1203555.625
5699-461,1190914.0
5699-462,1225979.875
5699-463,1539870.5
5942-457,254865.921875
5942-458,283155.96875
5942-459,272013.8125
5942-460,277320.375
5942-461,291258.3125
5942-462,285124.34375
5942-463,305728.78125
7298-457,145873.5
7298-458,142651.09375
7298-459,142121.65625
7298-460,168588.828125
7298-461,163296.859375
7298-462,153499.578125
7298-463,156172.234375
7999-457,143783.78125
7999-458,138143.53125
7999-459,130335.8828125
7999-460,118512.6171875
7999-461,149708.703125
7999-462,181478.015625
7999-463,140188.171875
5712-457,3094340.0
5712-458,2162466.5
5712-459,2374973.25
5712-460,2217646.5
5712-461,1857918.75
5712-462,1997491.875
5712-463,3696189.5
5511-457,308892.21875
5511-458,301522.6875
5511-459,380782.8125
5511-460,410036.0
5511-461,402590.5625
5511-462,390608.0625
5511-463,498507.15625
5422-457,16694.15234375
5422-458,21800.41015625
5422-459,19921.9140625
5422-460,28393.58984375
