id,volume
4814-457,11421630.333165772
4814-458,11906374.157893613
4814-459,12147136.137399687
4814-460,12110122.523759756
4814-461,12758091.563147381
4814-462,12589461.027915042
4814-463,12285072.87488905
4814-464,12293323.67975799
4814-465,12973247.296766926
4814-466,13276036.293837443
4814-467,13145413.724410063
4814-468,13545321.291396864
4814-469,13528796.562092956
4814-470,13343462.25270747
4814-471,13291441.0194961
4814-472,14096085.792362373
4814-473,14350437.901231024
4814-474,14284025.076641977
4814-475,14618299.161420593
4814-476,14620083.730808772
4814-477,14510736.978952225
4814-478,14496573.253401903
4814-479,16308886.664235659
4814-480,8213646.735523799
4814-481,12252124.994475957
4814-482,12592535.002268692
4814-483,12373871.18597303
4814-484,12315102.373215554
4814-485,12607146.633598754
4814-486,9787342.75540902
4829-457,211897422.1546589
4829-458,236085862.26535496
4829-459,248657250.71042258
4829-460,246150616.0798292
4829-461,260304425.24430415
4829-462,238752161.04412687
4829-463,237154579.7129188
4829-464,231505417.91576204
4829-465,258957465.9570311
4829-466,273179918.75913674
4829-467,259479573.39663154
4829-468,279265882.71775365
4829-469,264742737.02080658
4829-470,251496226.17299235
4829-471,247672710.75343114
4829-472,281713991.0240637
4829-473,295269769.25668955
4829-474,282730292.8086193
4829-475,300946461.2525793
4829-476,285017349.80684197
4829-477,281456192.1901966
4829-478,271932258.1747753
4829-479,335750530.2949798
4829-480,155302110.14855725
4829-481,241271794.9095046
4829-482,243981770.48426557
4829-483,242363988.1239866
4829-484,247174360.29292506
4829-485,230588789.3693803
4829-486,181544399.3384967
5499-457,6026863.042967584
5499-458,6070055.599747536
5499-459,6084150.439177414
5499-460,6226151.429997329
5499-461,6515797.366801307
5499-462,6660144.738917993
5499-463,6595420.802411411
5499-464,6467064.312220542
5499-465,6532521.890504199
5499-466,6721810.425835914
5499-467,6777011.608014148
5499-468,6914051.382841113
5499-469,7087091.388631213
5499-470,7157513.983656171
5499-471,7105715.975189272
5499-472,7098346.923626287
5499-473,7190792.471426532
5499-474,7283997.393052773
5499-475,7455822.2468505325
5499-476,7686863.39250421
5499-477,7860511.56582588
5499-478,7747152.217147404
5499-479,8224683.211613243
5499-480,4243534.381175113
5499-481,6295315.333701149
5499-482,6198093.790490104
5499-483,6599850.367823409
5499-484,6750590.539759146
5499-485,6635394.157319713
5499-486,5088775.1679056585
5541-457,7573696.6263269605
5541-458,7758035.374558417
5541-459,7996977.079971476
5541-460,8125390.454704595
5541-461,8225185.221819186
5541-462,8304382.076121626
5541-463,8492498.474893387
5541-464,8244284.331880568
5541-465,8414588.551422982
5541-466,8723126.159268305
5541-467,8788323.523584792
5541-468,8881069.741671233
5541-469,8958376.43674868
5541-470,9097784.34725872
5541-471,8889746.89852079
5541-472,9096118.645512328
5541-473,9394603.242014723
5541-474,9377989.316841591
5541-475,9697553.971174559
5541-476,9813063.491212958
5541-477,9783759.179289151
5541-478,9739669.475540001
5541-479,10787413.565010354
5541-480,5491541.811246182
5541-481,8000882.807893844
5541-482,8131343.8490809575
5541-483,8426923.642621135
5541-484,8522095.367741201
5541-485,8475410.435624959
5541-486,6596628.570783269
5200-457,1193004.603025659
5200-458,1178458.1419827556
5200-459,1156299.679368961
5200-460,1299983.4521785195
5200-461,1258296.3921507976
5200-462,1246600.6290541184
5200-463,1382980.8832172058
5200-464,1268707.2757889722
5200-465,1285936.5288017106
5200-466,1346005.8812719951
5200-467,1337652.229928165
5200-468,1307064.3500619777
5200-469,1461610.8075126016
5200-470,1469123.6653148711
5200-471,1314103.6079287557
5200-472,1361456.6371547934
5200-473,1419411.3238869049
5200-474,1387631.2627009873
5200-475,1467152.2875909377
5200-476,1511601.2419067859
5200-477,1633433.4522362351
5200-478,1613812.260156505
5200-479,1541226.7750549326
5200-480,852081.4267053723
5200-481,1240225.7168385144
5200-482,1222862.3022481161
5200-483,1249190.2569738077
5200-484,1329107.0341771254
5200-485,1361456.6371547934
5200-486,1101733.764224489
5732-457,2569124.7949657775
5732-458,2561921.789599418
5732-459,2474627.039119726
5732-460,2515284.923134424
5732-461,2783487.07260104
5732-462,2732316.5161555833
5732-463,2843241.362723386
5732-464,2649545.3518053023
5732-465,2615801.815806575
5732-466,2960295.156646263
5732-467,2980237.0606166106
5732-468,2778734.1974284505
5732-469,2776530.264926567
5732-470,2757278.1943943542
5732-471,3082732.3662458253
5732-472,2877459.0231180987
5732-473,3031606.5615286394
5732-474,2798990.133569199
5732-475,3004344.750744491
5732-476,2821631.6841924437
5732-477,3440296.227306544
5732-478,3218866.3744933065
5732-479,3346682.917837619
5732-480,1764654.225911371
5732-481,2565990.5684485934
5732-482,2545866.4714781744
5732-483,2583276.257021285
5732-484,3082732.3662458253
5732-485,2515131.4069500817
5732-486,2116143.8300924147
6011-457,306563843.3538092
6011-458,322592651.79759395
6011-459,345437178.1003052
6011-460,344826288.34936464
6011-461,362899960.0455973
6011-462,349957348.64754975
6011-463,336797280.5011845
6011-464,326774001.608387
6011-465,358672047.43704426
6011-466,383251960.7899578
6011-467,369065046.8724942
6011-468,389715219.8227568
6011-469,376550991.53474253
6011-470,367379462.0985401
6011-471,359834181.1349442
6011-472,389691434.21924734
6011-473,410692790.30625355
6011-474,397062232.2387282
6011-475,418716303.5381331
6011-476,413989690.6273796
6011-477,406974784.04398924
6011-478,392963624.1152868
6011-479,467168815.3403423
6011-480,213129644.39543152
6011-481,342832653.8075766
6011-482,346641048.3161007
6011-483,347891578.7370039
6011-484,348273993.8701377
6011-485,338218668.1891075
6011-486,256237498.27344823
5331-457,4489183.916446133
5331-458,4382248.887596494
5331-459,4497136.897817444
5331-460,4440947.276966007
5331-461,4793902.3745592525
5331-462,4906987.482765737
5331-463,4895918.530058029
5331-464,4772590.333592983
5331-465,4740076.455557042
5331-466,4941551.005295121
5331-467,4901599.464476796
5331-468,5112123.13503027
5331-469,5295365.987715299
5331-470,5419949.483549216
5331-471,5287937.521323291
5331-472,5150960.30911628
5331-473,5398819.099123599
5331-474,5203096.701258544
5331-475,5694290.153528158
5331-476,5668975.299044046
5331-477,5684567.009637043
5331-478,5540020.051307894
5331-479,5988727.744687463
5331-480,3166255.7634522007
5331-481,4526050.216124229
5331-482,4569629.657253223
5331-483,4803860.989832738
5331-484,4982436.350238242
5331-485,4875938.255818972
5331-486,3754976.469263822
5912-457,4141439.651600076
5912-458,4370762.700821034
5912-459,4365430.551060869
5912-460,4337013.85015224
5912-461,4630272.679564289
5912-462,4405043.025392987
5912-463,4379574.990621941
5912-464,4597044.561767179
5912-465,4645275.234396675
5912-466,4853076.533592159
5912-467,4733426.962489647
5912-468,4877128.81600249
5912-469,4924990.355416072
5912-470,4889348.8311566375
5912-471,4856039.521187792
5912-472,4930404.085826816
5912-473,5245185.509110718
5912-474,5204684.802977212
5912-475,5323234.570579482
5912-476,5314469.372963669
5912-477,5258648.670669657
5912-478,5131191.7876944635
5912-479,5883658.690757383
5912-480,3046445.531296328
5912-481,4333045.011534035
5912-482,4482886.381382614
5912-483,4637343.309592825
5912-484,4473320.122275571
5912-485,4499058.692927835
5912-486,3598803.8932600794
5411-457,29936276.95709712
5411-458,29527974.747167867
5411-459,29918010.878002584
5411-460,30724856.916981068
5411-461,31225851.188416515
5411-462,32453897.228787094
5411-463,32991138.429708827
5411-464,32134584.207834173
5411-465,32162054.694829606
5411-466,32764382.307416074
5411-467,33073800.208048377
5411-468,33726122.48600382
5411-469,34745770.14510712
5411-470,35774403.35781022
5411-471,35483008.08875937
5411-472,34917973.26660316
5411-473,35024697.23238744
5411-474,36004406.69858725
5411-475,36466633.334232055
5411-476,37619616.04931562
5411-477,39127762.73665376
5411-478,38370963.278732404
5411-479,40751052.78326518
5411-480,20048033.381814834
5411-481,30858291.87987393
5411-482,30653678.22539606
5411-483,32283992.26402217
5411-484,33582336.31994721
5411-485,32888603.51064103
5411-486,24203217.14003282
5812-457,4516943.19867422
5812-458,4531578.554531158
5812-459,4292769.731656606
5812-460,4526326.472797999
5812-461,4611657.972222611
5812-462,5016918.8601791775
5812-463,4870584.330498302
5812-464,4893827.214348543
5812-465,4820014.333207322
5812-466,4698311.392222744
5812-467,4930404.085826816
5812-468,4956351.93854545
5812-469,5384668.409953372
5812-470,5309606.056608922
5812-471,5349943.52262873
5812-472,5094679.881719718
5812-473,5102459.681818162
5812-474,5159770.747816492
5812-475,5267000.320704586
5812-476,5748767.1973666465
5812-477,5991652.642673139
5812-478,5739651.630995398
5812-479,6063020.429559495
5812-480,3031976.6533992086
5812-481,4586674.7636522865
5812-482,4691720.48817667
5812-483,4835631.670179981
5812-484,5001937.058662324
5812-485,4941852.622898427
5812-486,3781194.7395181027
5719-457,549943.3306873691
5719-458,369868.25403005537
5719-459,310681.70005246217
5719-460,371519.9078472528
5719-461,471253.4166213891
5719-462,644717.4037956093
5719-463,720332.6569578543
5719-464,488234.8076221745
5719-465,514201.5989320716
5719-466,410507.9053544711
5719-467,570212.5294951136
5719-468,418017.23834791954
5719-469,526749.0964873782
5719-470,669296.1881946737
5719-471,545830.1789943515
5719-472,486598.58032763586
5719-473,565533.4186090475
5719-474,545930.1328190065
5719-475,703474.3778814606
5719-476,493809.1050466529
5719-477,696467.8794310623
5719-478,444922.7831476425
5719-479,524759.5462538513
5719-480,309168.3922868207
5719-481,481311.2726387197
5719-482,397489.5101917393
5719-483,400142.76382933935
5719-484,515741.7382113474
5719-485,470161.6858518148
5719-486,550615.0593576459
6010-457,4305101.87834096
6010-458,5034710.425295253
6010-459,14176326.498823922
6010-460,8420239.891996758
6010-461,13490866.14948681
6010-462,7637292.011312989
6010-463,6908567.555242007
6010-464,6809767.761842218
6010-465,6555688.257442041
6010-466,15942764.243274495
6010-467,5279552.672099368
6010-468,11140717.15840626
6010-469,8590507.823100131
6010-470,9323769.885186639
6010-471,6868625.238395954
6010-472,6222352.447608671
6010-473,23631008.799192794
6010-474,6019510.519733438
6010-475,15929147.093629519
6010-476,9286853.105470156
6010-477,8155698.847716546
6010-478,7857633.487174024
6010-479,10399512.672710288
6010-480,5932700.925635694
6010-481,7228195.162158008
6010-482,5761061.0176892
6010-483,6253190.982815012
6010-484,9169698.819082344
6010-485,6960627.590547566
6010-486,5395854.253062603
5722-457,3179618.3368088324
5722-458,3166062.5163734085
5722-459,3087439.8346629837
5722-460,3253829.0300781736
5722-461,3338522.2685873155
5722-462,3643003.8432828933
5722-463,3475966.3429340534
5722-464,3615977.7231917614
5722-465,3551453.320510339
5722-466,3254424.8787009697
5722-467,3560351.756117589
5722-468,3588494.9666011296
5722-469,3581055.8580635665
5722-470,3711909.2655145153
5722-471,3925106.7710098396
5722-472,3583898.4003753625
5722-473,3746277.5068824315
5722-474,3965077.465312157
5722-475,3646785.7782941377
5722-476,4315098.446379855
5722-477,3995200.451091551
5722-478,4498509.524824406
5722-479,4120512.5053450894
5722-480,2260060.115814934
5722-481,3125550.055224497
5722-482,2994641.805303434
