id,volume
4814-457,8279353.0
4814-458,10371967.0
4814-459,15077313.0
4814-460,10604735.0
4814-461,10604735.0
4814-462,10764978.0
4814-463,10436720.0
6011-457,197600704.0
6011-458,294561248.0
6011-459,301174112.0
6011-460,301174112.0
6011-461,301174112.0
6011-462,301786496.0
6011-463,249798800.0
4829-457,177395568.0
4829-458,294561248.0
4829-459,301174112.0
4829-460,301174112.0
4829-461,301174112.0
4829-462,227026592.0
4829-463,227654032.0
5499-457,5737002.0
5499-458,5545437.5
5499-459,5894244.5
5499-460,5968344.0
5499-461,6025661.0
5499-462,6730488.5
5499-463,7123784.0
5541-457,6323505.0
5541-458,6968245.0
5541-459,8066479.5
5541-460,6688979.0
5541-461,7844066.0
5541-462,8336168.0
5541-463,8470060.0
5200-457,1152632.125
5200-458,1143213.0
5200-459,1055845.125
5200-460,1118755.875
5200-461,975810.0
5200-462,987179.8125
5200-463,1167805.0
5732-457,3043761.75
5732-458,2708900.25
5732-459,1995802.875
5732-460,2615903.75
5732-461,2244164.25
5732-462,2534591.5
5732-463,2757312.0
6010-457,35767.6484375
6010-458,13823164.0
6010-459,18193268.0
6010-460,7922327.5
6010-461,17165022.0
6010-462,8425034.0
6010-463,6208523.0
5331-457,3676554.75
5331-458,3779745.0
5331-459,3671667.0
5331-460,4024573.0
5331-461,3840475.75
5331-462,4240714.0
5331-463,5306092.5
5912-457,3648674.25
5912-458,4831091.0
5912-459,4668942.5
5912-460,4818120.0
5912-461,4384773.5
5912-462,4354349.0
5912-463,4486414.5
5411-457,27450300.0
5411-458,24776964.0
5411-459,25420618.0
5411-460,28091674.0
5411-461,28270612.0
5411-462,30629742.0
5411-463,30629742.0
5812-457,3899466.5
5812-458,3308102.5
5812-459,3869095.0
5812-460,3675089.5
5812-461,4009028.0
5812-462,5134451.0
5812-463,4995558.0
6012-457,2018949.375
6012-458,1865629.875
6012-459,2130423.25
6012-460,1803140.0
6012-461,1894071.5
6012-462,2624319.5
6012-463,1802498.75
5719-457,522559.625
5719-458,455853.59375
5719-459,604096.5625
5719-460,501613.65625
