id,volume
4814-457,8979100.0
4814-458,10275952.0
4814-459,9643610.0
4814-460,9134811.0
4814-461,10008545.0
4814-462,10801320.0
4814-463,9802689.0
4814-464,8102075.5
4814-465,10275952.0
4814-466,9643610.0
4814-467,9643610.0
4814-468,10566030.0
4814-469,10801320.0
4814-470,9521356.0
4814-471,7216430.0
4814-472,10275952.0
4814-473,9643610.0
4814-474,9134811.0
4814-475,10566030.0
4814-476,10801320.0
4814-477,9802689.0
4814-478,8102075.5
4814-479,11641781.0
4814-480,8499125.0
4814-481,12261908.0
4814-482,10364511.0
4814-483,10801320.0
4814-484,9802689.0
4814-485,8341472.5
4814-486,13072116.0
4829-457,138577536.0
4829-458,263637904.0
4829-459,285876192.0
4829-460,279822240.0
4829-461,279822240.0
4829-462,294464640.0
4829-463,193782832.0
4829-464,156471040.0
4829-465,260460592.0
4829-466,285876192.0
4829-467,285876192.0
4829-468,279822240.0
4829-469,299815744.0
4829-470,180245520.0
4829-471,138577536.0
4829-472,269341696.0
4829-473,280848832.0
4829-474,285876192.0
4829-475,270595552.0
4829-476,288228800.0
4829-477,180245520.0
4829-478,156471040.0
4829-479,143413184.0
4829-480,148038448.0
4829-481,285876192.0
4829-482,276449856.0
4829-483,293466592.0
4829-484,193126048.0
4829-485,156471040.0
4829-486,81482632.0
5499-457,5042657.5
5499-458,4824304.5
5499-459,4960484.0
5499-460,6500044.5
5499-461,5863655.0
5499-462,7417545.0
5499-463,5921853.0
5499-464,5290923.0
5499-465,5662761.0
5499-466,5716674.5
5499-467,6015177.0
5499-468,6381786.0
5499-469,6437171.0
5499-470,5921853.0
5499-471,5251777.0
5499-472,5559735.0
5499-473,5998124.0
5499-474,6381786.0
5499-475,6381786.0
5499-476,7477012.0
5499-477,5921853.0
5499-478,5510338.0
5499-479,5404289.0
5499-480,4205510.0
5499-481,5998124.0
5499-482,5759286.0
5499-483,6068399.5
5499-484,5921853.0
5499-485,4439879.5
5499-486,3015128.0
5541-457,6810968.5
5541-458,6786007.0
5541-459,7302344.5
5541-460,7302344.5
5541-461,8440781.0
5541-462,7787084.0
5541-463,7246657.5
5541-464,6293502.0
5541-465,6409134.5
5541-466,7302344.5
5541-467,7302344.5
5541-468,8198534.0
5541-469,7787084.0
5541-470,8267171.0
5541-471,5679613.5
5541-472,7101874.0
5541-473,8440781.0
5541-474,7623457.5
5541-475,8440781.0
5541-476,8628744.0
5541-477,7152150.0
5541-478,6293502.0
5541-479,8669268.0
5541-480,5623431.5
5541-481,8440781.0
5541-482,8872637.0
5541-483,9631000.0
5541-484,8690144.0
5541-485,7613271.5
5541-486,6619845.0
5200-457,872894.5
5200-458,992629.75
5200-459,994994.5
5200-460,1158184.5
5200-461,1157375.25
5200-462,1298568.25
5200-463,1045352.0
5200-464,1049248.25
5200-465,952970.875
5200-466,1171383.25
5200-467,1251788.75
5200-468,1265898.375
5200-469,1443460.0
5200-470,1456484.5
5200-471,991036.875
5200-472,1166258.0
5200-473,1169709.875
5200-474,1086907.0
5200-475,1321633.0
5200-476,1148308.25
5200-477,1201820.25
5200-478,976268.0
5200-479,1173625.25
5200-480,886451.25
5200-481,1168964.875
5200-482,1135366.25
5200-483,1285050.0
5200-484,1147783.75
5200-485,1094831.25
5200-486,724683.125
5732-457,1921128.5
5732-458,2110339.5
5732-459,1754818.0
5732-460,2121470.0
5732-461,2834174.5
5732-462,2947907.5
5732-463,2252777.75
5732-464,1671312.875
5732-465,1954988.0
5732-466,1904372.0
5732-467,2371530.75
5732-468,2326253.5
5732-469,2119710.5
5732-470,2176934.25
5732-471,1934505.5
5732-472,2139638.75
5732-473,2218473.75
5732-474,1508691.875
5732-475,2308126.25
5732-476,1983707.75
5732-477,1930653.5
5732-478,1641062.25
5732-479,2880731.5
5732-480,2981698.0
5732-481,2640388.5
5732-482,2494092.5
5732-483,2241614.5
5732-484,2531794.0
5732-485,1909067.125
5732-486,1132036.25
6011-457,182670976.0
6011-458,289108096.0
6011-459,306856000.0
6011-460,306856000.0
6011-461,306856000.0
6011-462,314322880.0
6011-463,263976528.0
6011-464,186400720.0
6011-465,294361888.0
6011-466,312432320.0
6011-467,312432320.0
6011-468,312432320.0
6011-469,320034880.0
6011-470,275309600.0
6011-471,176964016.0
6011-472,294361888.0
6011-473,312432320.0
6011-474,312432320.0
6011-475,312432320.0
6011-476,320034880.0
6011-477,254824784.0
6011-478,180475664.0
6011-479,173328192.0
6011-480,173950832.0
6011-481,312432320.0
6011-482,309418496.0
6011-483,313257536.0
6011-484,259455536.0
6011-485,176964016.0
6011-486,87462464.0
5331-457,3342287.25
5331-458,4024442.5
5331-459,4152992.0
5331-460,4480108.0
5331-461,4160401.0
5331-462,4180143.25
5331-463,4169397.5
5331-464,3957932.75
5331-465,3725800.75
5331-466,4852118.0
5331-467,4310791.5
5331-468,4276245.5
5331-469,4447635.0
5331-470,4905218.0
5331-471,3988903.0
5331-472,3754213.25
5331-473,4332933.0
5331-474,3516805.5
5331-475,4521808.5
5331-476,5105555.0
5331-477,4001583.25
5331-478,2873827.75
5331-479,4079332.25
5331-480,2126497.5
5331-481,4324148.5
5331-482,5715088.0
5331-483,5194865.5
5331-484,5071812.5
5331-485,4555718.0
5331-486,1818691.875
5912-457,2881690.5
5912-458,3868943.5
5912-459,3764029.0
5912-460,4140159.75
5912-461,3860186.75
5912-462,3771031.75
5912-463,3614946.25
5912-464,3017697.0
5912-465,3757429.75
5912-466,3722568.75
5912-467,3664450.25
5912-468,3978155.75
5912-469,4200323.5
5912-470,3817481.75
5912-471,3294231.5
5912-472,3757429.75
5912-473,3911784.25
5912-474,4342008.5
5912-475,4160401.0
5912-476,4305770.5
5912-477,3429904.5
5912-478,2929290.5
5912-479,3501982.25
5912-480,3346708.0
5912-481,3927147.0
5912-482,4278844.0
5912-483,4130923.0
5912-484,3355599.0
5912-485,2928028.25
5912-486,1772623.75
5411-457,24975864.0
5411-458,24002018.0
5411-459,25410972.0
5411-460,25410972.0
5411-461,25410972.0
5411-462,3443617.75
5411-463,27871946.0
5411-464,23126936.0
5411-465,25124746.0
5411-466,25410972.0
5411-467,26980996.0
5411-468,24983584.0
5411-469,3560833.5
5411-470,27871946.0
5411-471,24975864.0
5411-472,24297688.0
5411-473,26322824.0
5411-474,26980996.0
5411-475,27899392.0
5411-476,3188685.5
5411-477,25808576.0
5411-478,23126936.0
5411-479,16601439.0
5411-480,23666752.0
5411-481,23529742.0
5411-482,25833988.0
5411-483,3188685.5
5411-484,27871946.0
5411-485,24975864.0
5411-486,35317408.0
5812-457,4074981.25
5812-458,4338929.0
5812-459,3879059.25
5812-460,4329921.5
5812-461,4342261.0
5812-462,5123304.0
5812-463,4922219.5
5812-464,4270963.5
5812-465,3678027.75
5812-466,3990398.25
5812-467,3920549.5
5812-468,4329921.5
5812-469,5170395.0
5812-470,5419995.5
5812-471,4248409.0
5812-472,3996026.75
5812-473,4207399.5
5812-474,4083703.5
5812-475,3751940.5
5812-476,4476405.0
5812-477,5077203.5
5812-478,3972037.0
5812-479,3342819.5
5812-480,3215681.0
5812-481,4152992.0
5812-482,4778414.5
5812-483,5409543.5
5812-484,5656904.0
5812-485,3645137.25
5812-486,1795372.25
5719-457,304748.65625
5719-458,220956.171875
