id,volume
4814-457,8405468.0
4814-458,10635910.0
4814-459,10114323.0
4814-460,9813165.0
4814-461,10446837.0
4814-462,11449144.0
4814-463,10440841.0
4814-464,8088395.0
4814-465,10708477.0
4814-466,10183332.0
4814-467,10183332.0
4814-468,11189515.0
4814-469,11449144.0
4814-470,10073892.0
4814-471,7743628.0
4814-472,10708477.0
4814-473,10183332.0
4814-474,9916500.0
4814-475,10914852.0
4814-476,11449144.0
4814-477,9864340.0
4814-478,7683557.0
4814-479,11915153.0
4814-480,9276434.0
4814-481,13444614.0
4814-482,10795553.0
4814-483,11674401.0
4814-484,10370107.0
4814-485,8515392.0
4814-486,13504522.0
4829-457,148373136.0
4829-458,274742016.0
4829-459,288141952.0
4829-460,284970304.0
4829-461,284970304.0
4829-462,294316416.0
4829-463,192952992.0
4829-464,159918496.0
4829-465,270304608.0
4829-466,288141952.0
4829-467,288141952.0
4829-468,284970304.0
4829-469,297060160.0
4829-470,181834960.0
4829-471,148373136.0
4829-472,281517632.0
4829-473,280758336.0
4829-474,288141952.0
4829-475,273619744.0
4829-476,291076768.0
4829-477,181834960.0
4829-478,159918496.0
4829-479,172393152.0
4829-480,192917296.0
4829-481,288141952.0
4829-482,276665088.0
4829-483,293790304.0
4829-484,196901312.0
4829-485,159918496.0
4829-486,107904336.0
5499-457,5134740.0
5499-458,5253620.5
5499-459,5313871.0
5499-460,6492988.0
5499-461,6132377.0
5499-462,7285358.0
5499-463,6183009.0
5499-464,5561416.0
5499-465,5724721.5
5499-466,6053625.0
5499-467,5848659.5
5499-468,6492988.0
5499-469,6728807.0
5499-470,6183009.0
5499-471,5334256.5
5499-472,5914465.0
5499-473,6530029.5
5499-474,6362685.5
5499-475,6492988.0
5499-476,7526569.5
5499-477,6183009.0
5499-478,5697005.5
5499-479,4795909.0
5499-480,5175333.0
5499-481,6386035.0
5499-482,6001900.0
5499-483,6450193.0
5499-484,6183009.0
5499-485,4536732.5
5499-486,1830063.5
5541-457,7179992.0
5541-458,7217497.0
5541-459,7986298.5
5541-460,7772490.0
5541-461,8150776.0
5541-462,8097888.5
5541-463,7196575.0
5541-464,6376894.0
5541-465,7305005.5
5541-466,7596800.5
5541-467,7596800.5
5541-468,7718177.0
5541-469,7946776.5
5541-470,8136610.0
5541-471,6459882.5
5541-472,7632653.0
5541-473,8459203.0
5541-474,7930499.0
5541-475,8532577.0
5541-476,8649622.0
5541-477,7520908.0
5541-478,6900007.0
5541-479,9051146.0
5541-480,6369048.0
5541-481,9001649.0
5541-482,8650859.0
5541-483,10289092.0
5541-484,8347727.5
5541-485,7523196.5
5541-486,7855340.0
5200-457,851827.8125
5200-458,1142705.125
5200-459,968055.5
5200-460,1213228.875
5200-461,1238569.625
5200-462,1351464.5
5200-463,1215912.75
5200-464,1040274.0625
5200-465,1036443.75
5200-466,1255268.625
5200-467,1270711.125
5200-468,1275013.25
5200-469,1448842.75
5200-470,1422662.25
5200-471,944109.5
5200-472,1302729.75
5200-473,1175138.25
5200-474,1166251.25
5200-475,1271803.5
5200-476,1171783.25
5200-477,1315043.75
5200-478,974061.125
5200-479,1143656.875
5200-480,1071428.5
5200-481,1050621.0
5200-482,1186524.5
5200-483,1329368.0
5200-484,1150264.625
5200-485,1101725.25
5200-486,738639.5
5732-457,1936009.625
5732-458,2237592.75
5732-459,1810711.875
5732-460,2254901.5
5732-461,2615854.0
5732-462,2873216.5
5732-463,2330243.5
5732-464,1586962.875
5732-465,2000360.875
5732-466,2164447.25
5732-467,2225460.0
5732-468,2064879.0
5732-469,2162336.75
5732-470,2222584.0
5732-471,1787902.0
5732-472,2093772.75
5732-473,2146841.75
5732-474,1744539.25
5732-475,2109275.0
5732-476,2006750.375
5732-477,2056693.375
5732-478,1664255.75
5732-479,3561523.0
5732-480,2949037.75
5732-481,2547391.25
5732-482,2356554.0
5732-483,2148439.25
5732-484,2782807.25
5732-485,1947139.75
5732-486,1611734.125
6011-457,188334112.0
6011-458,316029568.0
6011-459,323465984.0
6011-460,323465984.0
6011-461,315185600.0
6011-462,330353248.0
6011-463,281575104.0
6011-464,188533568.0
6011-465,318975712.0
6011-466,318123872.0
6011-467,318123872.0
6011-468,318123872.0
6011-469,333432928.0
6011-470,277795072.0
6011-471,186577856.0
6011-472,318975712.0
6011-473,326481472.0
6011-474,318123872.0
6011-475,318123872.0
6011-476,333432928.0
6011-477,266128128.0
6011-478,188131264.0
6011-479,168934016.0
6011-480,211729936.0
6011-481,318123872.0
6011-482,322188928.0
6011-483,329762752.0
6011-484,262047168.0
6011-485,186577856.0
6011-486,88034016.0
5331-457,3365444.25
5331-458,3754825.5
5331-459,4233671.0
5331-460,4916336.5
5331-461,4286097.0
5331-462,4058119.0
5331-463,4215512.5
5331-464,3679761.0
5331-465,4119985.5
5331-466,4246185.5
5331-467,4337960.5
5331-468,4217893.5
5331-469,4984774.0
5331-470,5150871.0
5331-471,3924230.5
5331-472,3836299.0
5331-473,4420483.0
5331-474,2907867.0
5331-475,4426840.5
5331-476,4884701.5
5331-477,3350853.5
5331-478,2416550.5
5331-479,4610971.5
5331-480,2903505.5
5331-481,4387492.0
5331-482,5096871.0
5331-483,5351596.0
5331-484,4524914.5
5331-485,4609955.5
5331-486,2602375.0
5912-457,2782051.0
5912-458,3829036.25
5912-459,3829536.5
5912-460,4095970.25
5912-461,3931077.5
5912-462,4309390.0
5912-463,3833106.5
5912-464,3110675.5
5912-465,3791861.5
5912-466,3752026.5
5912-467,3707072.75
5912-468,4236918.0
5912-469,4451683.5
5912-470,4006211.0
5912-471,3356613.5
5912-472,3791861.5
5912-473,3927457.75
5912-474,4242166.0
5912-475,4398196.0
5912-476,4306744.0
5912-477,3621502.5
5912-478,3023983.0
5912-479,3647905.5
5912-480,3650714.0
5912-481,4189102.5
5912-482,4221358.0
5912-483,4213591.5
5912-484,3418051.25
5912-485,2987365.0
5912-486,2178215.5
5411-457,25838966.0
5411-458,28180006.0
5411-459,28536884.0
5411-460,27321178.0
5411-461,27427536.0
5411-462,8565785.0
5411-463,29494508.0
5411-464,25939552.0
5411-465,29184712.0
5411-466,28794184.0
5411-467,28955384.0
5411-468,28955384.0
5411-469,8951159.0
5411-470,29494508.0
5411-471,25838966.0
5411-472,27928194.0
5411-473,32840802.0
5411-474,28843104.0
5411-475,30258116.0
5411-476,8565785.0
5411-477,29494508.0
5411-478,25838966.0
5411-479,18712910.0
5411-480,28979530.0
5411-481,27077040.0
5411-482,30258116.0
5411-483,8565785.0
5411-484,29494508.0
5411-485,25838966.0
5411-486,24379948.0
5812-457,4384133.5
5812-458,4238421.5
5812-459,4043046.0
5812-460,3968356.75
5812-461,4210586.5
5812-462,5348397.0
5812-463,5635097.0
5812-464,4555609.5
5812-465,3800876.5
5812-466,4086707.25
5812-467,3852441.5
5812-468,4511712.0
5812-469,5068118.5
5812-470,5785925.5
5812-471,4064238.5
5812-472,4081519.25
5812-473,4209322.0
5812-474,3746155.5
5812-475,3754825.5
5812-476,4293064.0
5812-477,4949828.0
5812-478,4118991.5
5812-479,3900671.75
5812-480,3509628.75
5812-481,3731234.0
5812-482,4487886.5
5812-483,5558192.0
5812-484,5455237.5
5812-485,3912071.5
5812-486,1419706.25
5719-457,247045.21875
5719-458,190179.21875
5719-459,375413.8125
5719-460,208667.8125
5719-461,339164.8125
5719-462,701961.0625
5719-463,801310.1875
5719-464,317232.3125
5719-465,505370.46875
5719-466,370176.625
5719-467,372689.875
5719-468,362841.9375
5719-469,318180.65625
5719-470,1222195.25
5719-471,1098330.5
5719-472,852390.1875
5719-473,878711.875
5719-474,911603.4375
5719-475,958332.5
5719-476,467813.5
5719-477,365123.5625
5719-478,427226.8125
5719-479,130170.1796875
5719-480,173772.96875
5719-481,412853.3125
5719-482,311971.71875
5719-483,1008457.625
5719-484,768939.375
5719-485,574039.4375
5719-486,86534.7421875
6010-457,84898.3125
6010-458,9618829.0
6010-459,5880640.0
6010-460,16987482.0
6010-461,13480408.0
6010-462,13697135.0
6010-463,8124149.5
6010-464,224393.578125
6010-465,13407687.0
6010-466,21481482.0
6010-467,9536914.0
6010-468,14757545.0
6010-469,15726923.0
6010-470,10777078.0
6010-471,29005.361328125
6010-472,15690220.0
6010-473,8001484.5
6010-474,12964155.0
6010-475,15274576.0
