id,volume
4814-457,8554625.0
4814-458,11198162.0
4814-459,10376439.0
4814-460,10233899.0
4814-461,10938486.0
4814-462,11088301.0
4814-463,9157105.0
4814-464,7636424.5
4814-465,10506565.0
4814-466,10760441.0
4814-467,10695862.0
4814-468,11063879.0
4814-469,11509640.0
4814-470,10523051.0
4814-471,7797577.0
4814-472,10624170.0
4814-473,10376439.0
4814-474,10233899.0
4814-475,11063879.0
4814-476,11128154.0
4814-477,10406605.0
4814-478,5259676.0
4814-479,11757956.0
4814-480,15475748.0
4814-481,11590910.0
4814-482,12176072.0
4814-483,11440565.0
4814-484,10959787.0
4814-485,1608135.25
4814-486,8441167.0
4829-457,136102400.0
4829-458,302138400.0
4829-459,330900000.0
4829-460,323444384.0
4829-461,330900000.0
4829-462,337616320.0
4829-463,210370144.0
4829-464,171485056.0
4829-465,299215328.0
4829-466,330900000.0
4829-467,330900000.0
4829-468,323444384.0
4829-469,337616320.0
4829-470,215115888.0
4829-471,160447968.0
4829-472,315240896.0
4829-473,327108512.0
4829-474,330900000.0
4829-475,324003808.0
4829-476,337616320.0
4829-477,208526112.0
4829-478,183527296.0
4829-479,203565888.0
4829-480,177617664.0
4829-481,268284976.0
4829-482,316703584.0
4829-483,337616320.0
4829-484,217018208.0
4829-485,14784366.0
4829-486,63979752.0
5499-457,5307403.0
5499-458,5619775.0
5499-459,6008652.5
5499-460,5959005.0
5499-461,5962495.5
5499-462,6195363.0
5499-463,6789470.0
5499-464,5792197.0
5499-465,6395165.0
5499-466,6764419.5
5499-467,6387070.5
5499-468,6790920.5
5499-469,6929642.5
5499-470,7029082.0
5499-471,5762285.5
5499-472,6242114.0
5499-473,6527414.5
5499-474,6557307.0
5499-475,6371618.0
5499-476,6801816.0
5499-477,6597206.5
5499-478,4058281.75
5499-479,5230868.0
5499-480,4659717.0
5499-481,5186762.0
5499-482,6517841.0
5499-483,6646413.0
5499-484,6423287.5
5499-485,1424507.25
5499-486,4477613.5
5541-457,6840978.5
5541-458,7623181.5
5541-459,7876051.0
5541-460,7500351.0
5541-461,7660539.0
5541-462,7880536.5
5541-463,7635019.0
5541-464,6908553.5
5541-465,7430246.5
5541-466,7772519.5
5541-467,7810080.0
5541-468,7487708.5
5541-469,8020760.5
5541-470,7920937.5
5541-471,6820426.0
5541-472,7737161.5
5541-473,8161385.5
5541-474,8029339.5
5541-475,8117443.0
5541-476,8330128.0
5541-477,7683498.5
5541-478,4887218.0
5541-479,7293311.0
5541-480,6656861.0
5541-481,7314081.5
5541-482,8941876.0
5541-483,10014847.0
5541-484,9020710.0
5541-485,1465934.0
5541-486,4895540.0
5200-457,915977.25
5200-458,1057929.5
5200-459,1159121.5
5200-460,893637.25
5200-461,1010795.4375
5200-462,1179568.875
5200-463,1213473.0
5200-464,830404.3125
5200-465,1103341.375
5200-466,1022296.9375
5200-467,1286128.875
5200-468,1339490.25
5200-469,1169712.125
5200-470,1376310.0
5200-471,1115014.0
5200-472,1057353.625
5200-473,1169644.0
5200-474,1252627.0
5200-475,992112.125
5200-476,1427944.5
5200-477,1289881.5
5200-478,1274116.125
5200-479,1675986.25
5200-480,867009.8125
5200-481,1262979.0
5200-482,1108024.125
5200-483,1310801.625
5200-484,1213971.875
5200-485,574847.5
5200-486,751378.375
5732-457,1807104.75
5732-458,2327554.0
5732-459,2021122.5
5732-460,2629066.5
5732-461,2825455.0
5732-462,2805791.5
5732-463,2502978.0
5732-464,1800200.25
5732-465,2426416.0
5732-466,1864571.5
5732-467,2502510.25
5732-468,2283386.25
5732-469,1573109.125
5732-470,2569462.5
5732-471,2048925.25
5732-472,2269269.0
5732-473,1812121.5
5732-474,1988097.75
5732-475,2289666.25
5732-476,2113507.5
5732-477,2270078.5
5732-478,1391962.5
5732-479,2878040.5
5732-480,2569394.0
5732-481,2520901.5
5732-482,2581054.75
5732-483,3104067.0
5732-484,2780457.0
5732-485,794731.6875
5732-486,1126638.25
6011-457,182735456.0
6011-458,339045696.0
6011-459,355394784.0
6011-460,355394784.0
6011-461,355394784.0
6011-462,369190656.0
6011-463,298382688.0
6011-464,187006112.0
6011-465,341100576.0
6011-466,357548736.0
6011-467,357548736.0
6011-468,357548736.0
6011-469,369190656.0
6011-470,290120640.0
6011-471,189278336.0
6011-472,348963168.0
6011-473,357548736.0
6011-474,357548736.0
6011-475,357548736.0
6011-476,369190656.0
6011-477,275872032.0
6011-478,199412784.0
6011-479,245723952.0
6011-480,206207984.0
6011-481,290069728.0
6011-482,352341312.0
6011-483,367482784.0
6011-484,260073376.0
6011-485,17519772.0
6011-486,76015088.0
5331-457,3710772.75
5331-458,3832898.0
5331-459,4190145.25
5331-460,4190337.0
5331-461,4240783.0
5331-462,4108360.0
5331-463,4658797.0
5331-464,3717126.75
5331-465,3638673.5
5331-466,4360982.0
5331-467,4451615.5
5331-468,4651853.5
5331-469,5370349.0
5331-470,5336877.0
5331-471,3913310.25
5331-472,4340042.0
5331-473,4448869.5
5331-474,5031599.5
5331-475,4043936.75
5331-476,4071058.25
5331-477,4864971.0
5331-478,2727239.75
5331-479,6091174.5
5331-480,3178744.75
5331-481,4069944.0
5331-482,4669713.0
