id,volume
4814-457,9157594.0
4814-458,10869541.0
4814-459,10680694.0
4814-460,10207426.0
4814-461,10861521.0
4814-462,11692407.0
4814-463,11158760.0
4814-464,8414588.0
4814-465,10869541.0
4814-466,10680694.0
4814-467,9940474.0
4814-468,11385425.0
4814-469,11692407.0
4814-470,10429476.0
4814-471,8701099.0
4814-472,10690844.0
4814-473,10680694.0
4814-474,10240362.0
4814-475,11214342.0
4814-476,11736760.0
4814-477,10416852.0
4814-478,8684254.0
4814-479,11839918.0
4814-480,9496998.0
4814-481,16132121.0
4814-482,10786456.0
4814-483,12355604.0
4814-484,10991335.0
4814-485,9428808.0
4814-486,9490551.0
6011-457,172325760.0
6011-458,365293376.0
6011-459,384774304.0
6011-460,376318656.0
6011-461,381929280.0
6011-462,370309888.0
6011-463,239799760.0
6011-464,195329520.0
6011-465,372596192.0
6011-466,389564672.0
6011-467,311406624.0
6011-468,316049440.0
6011-469,306434304.0
6011-470,281949664.0
6011-471,171957696.0
6011-472,372596192.0
6011-473,389564672.0
6011-474,387432064.0
6011-475,389564672.0
6011-476,372164352.0
6011-477,306677568.0
6011-478,189146240.0
6011-479,244048992.0
6011-480,311521280.0
6011-481,389564672.0
6011-482,349094976.0
6011-483,374612096.0
6011-484,241853456.0
6011-485,161107600.0
6011-486,114130880.0
4829-457,152070848.0
4829-458,293473888.0
4829-459,309378944.0
4829-460,296976864.0
4829-461,299875808.0
4829-462,308378592.0
4829-463,214804704.0
4829-464,166039504.0
4829-465,287725664.0
4829-466,311080128.0
4829-467,307091392.0
4829-468,304570272.0
4829-469,321184512.0
4829-470,184984016.0
4829-471,155462272.0
4829-472,305262944.0
4829-473,300736128.0
4829-474,308437408.0
4829-475,298639456.0
4829-476,316511552.0
4829-477,187535824.0
4829-478,163454688.0
4829-479,261019072.0
4829-480,232994464.0
4829-481,334436096.0
4829-482,290641824.0
4829-483,311084864.0
4829-484,181561520.0
4829-485,133088112.0
4829-486,104980384.0
5499-457,5658825.0
5499-458,5697815.0
5499-459,5394799.0
5499-460,6574928.0
5499-461,6469253.5
5499-462,7494009.5
5499-463,6610653.0
5499-464,6074682.0
5499-465,6209476.0
5499-466,6350822.0
5499-467,6155386.0
5499-468,6719566.5
5499-469,7029055.0
5499-470,6942773.0
5499-471,6328089.5
5499-472,6320526.0
5499-473,6855595.0
5499-474,6872326.5
5499-475,6764729.0
5499-476,7874113.5
5499-477,6894113.5
5499-478,6674788.0
5499-479,6877316.0
5499-480,5619078.5
5499-481,6708815.5
5499-482,6561961.0
5499-483,6692444.0
5499-484,7039111.0
5499-485,4912545.0
5499-486,2047159.625
5541-457,7552843.0
5541-458,7206210.5
5541-459,7952644.5
5541-460,8351732.5
5541-461,8625108.0
5541-462,8856862.0
5541-463,7839160.0
5541-464,7022864.0
5541-465,7899927.5
5541-466,7843699.0
5541-467,7547234.0
5541-468,8456089.0
5541-469,8715450.0
5541-470,8945578.0
5541-471,7093595.5
5541-472,8388371.5
5541-473,8912946.0
5541-474,8439115.0
5541-475,8697026.0
5541-476,9322675.0
5541-477,8237116.0
5541-478,7455039.0
5541-479,9532422.0
5541-480,7167937.0
5541-481,9324827.0
5541-482,9137128.0
5541-483,10211904.0
5541-484,8981224.0
5541-485,8463617.0
5541-486,5043576.5
5200-457,774595.625
5200-458,1050190.25
5200-459,963762.0
5200-460,1192807.625
5200-461,1099404.625
5200-462,1420070.5
5200-463,1282207.5
5200-464,1185081.5
5200-465,1047589.5
5200-466,1256311.75
5200-467,1273972.75
5200-468,1284137.375
5200-469,1375593.5
5200-470,1478045.875
5200-471,974893.8125
5200-472,1241800.875
5200-473,1227442.25
5200-474,1171838.0
5200-475,1302727.25
5200-476,1179608.25
5200-477,1435938.75
5200-478,987343.625
5200-479,1318342.375
5200-480,1186913.75
5200-481,1097600.625
5200-482,1207245.625
5200-483,1403210.375
5200-484,1314106.0
5200-485,1106259.875
5200-486,668906.875
5732-457,2005413.125
5732-458,2310203.0
5732-459,2075813.375
5732-460,2404422.0
5732-461,2854421.0
5732-462,2901487.5
5732-463,2486602.0
5732-464,1628849.0
5732-465,2111557.25
5732-466,2318669.75
5732-467,2409125.0
5732-468,2490002.5
5732-469,2379033.25
5732-470,2492559.0
5732-471,1959836.0
5732-472,2345704.0
5732-473,2272233.75
5732-474,1733446.125
5732-475,2229853.5
5732-476,2041170.75
5732-477,2293401.0
5732-478,1679383.0
5732-479,3367746.5
5732-480,2870404.0
5732-481,2494076.0
5732-482,2579989.0
5732-483,2361028.25
5732-484,2871816.75
5732-485,2022368.0
5732-486,1069256.375
6010-457,26572.44921875
6010-458,14492134.0
6010-459,11403246.0
6010-460,28009494.0
6010-461,16531260.0
6010-462,11703987.0
6010-463,6891293.5
6010-464,84069.9609375
6010-465,12090861.0
6010-466,14870141.0
6010-467,9882211.0
6010-468,10240538.0
6010-469,15058460.0
6010-470,3270285.5
6010-471,73409.84375
6010-472,13651336.0
6010-473,10549337.0
6010-474,12775367.0
6010-475,15142012.0
6010-476,14748315.0
6010-477,12113390.0
6010-478,23460.8359375
6010-479,23793984.0
6010-480,16812934.0
6010-481,6999522.0
6010-482,10601478.0
6010-483,6444241.0
6010-484,2008172.875
6010-485,12613.2587890625
6010-486,14454756.0
5331-457,3690754.5
5331-458,3898403.25
5331-459,4234353.0
5331-460,4803155.0
5331-461,5230404.0
5331-462,4153487.0
5331-463,4534535.0
5331-464,4014422.5
5331-465,4300887.0
5331-466,4535495.0
5331-467,4620404.5
5331-468,4488995.0
5331-469,4955817.0
5331-470,5401470.5
5331-471,4043200.25
5331-472,3976122.75
5331-473,4450872.5
5331-474,4195879.5
5331-475,4799794.0
5331-476,5737582.0
5331-477,4416880.0
5331-478,3935068.5
5331-479,5358547.0
5331-480,3776606.5
5331-481,4876775.0
5331-482,6149759.5
5331-483,6073726.0
5331-484,4745802.0
5331-485,4530238.5
5331-486,2220874.25
5912-457,3196418.75
5912-458,3967622.75
5912-459,3955174.5
5912-460,4233876.5
5912-461,4168789.0
5912-462,4381304.0
5912-463,4025429.0
5912-464,3392082.5
5912-465,3852011.75
5912-466,3973067.5
5912-467,4039411.5
5912-468,4326079.0
5912-469,4519226.5
5912-470,4242486.0
5912-471,3545172.25
5912-472,3894055.75
5912-473,4246619.0
5912-474,4414896.5
5912-475,4482937.0
5912-476,4579890.5
5912-477,3871110.0
5912-478,3302910.5
5912-479,4846462.0
5912-480,4027034.0
5912-481,4375950.5
5912-482,4520937.5
5912-483,4353780.5
5912-484,3778681.75
5912-485,3330149.25
5912-486,2322562.5
5411-457,27926650.0
5411-458,27863866.0
5411-459,27933842.0
5411-460,28364266.0
5411-461,28488590.0
5411-462,18887792.0
5411-463,30899310.0
5411-464,27926650.0
5411-465,28016760.0
5411-466,28640104.0
5411-467,29795030.0
5411-468,29665006.0
5411-469,19146080.0
5411-470,31343248.0
5411-471,28230736.0
5411-472,27759894.0
5411-473,30938822.0
5411-474,29665006.0
5411-475,30430068.0
5411-476,19235944.0
5411-477,30523832.0
5411-478,28624212.0
5411-479,25480666.0
5411-480,30201380.0
5411-481,27167624.0
5411-482,30297270.0
5411-483,18746562.0
5411-484,31343248.0
5411-485,27275412.0
5411-486,26207152.0
5812-457,4510455.5
5812-458,4308071.0
5812-459,4256613.5
5812-460,4240653.5
5812-461,4368041.0
5812-462,5679104.5
5812-463,6037954.0
5812-464,4699001.0
5812-465,4051062.25
5812-466,4265830.0
5812-467,3994788.5
5812-468,4718890.5
5812-469,5675487.5
5812-470,6112286.0
5812-471,4636914.0
5812-472,4162873.5
5812-473,4176971.0
5812-474,4021158.5
5812-475,3925001.5
5812-476,4630921.5
5812-477,5413115.0
5812-478,4530109.0
5812-479,4187768.25
5812-480,4197216.0
5812-481,4029777.0
5812-482,4736465.5
5812-483,5791396.5
5812-484,5905362.5
5812-485,4053848.75
5812-486,1575335.5
6012-457,1038070.0
6012-458,2115740.0
6012-459,2776731.25
6012-460,2083926.0
6012-461,1928964.0
6012-462,1925721.625
6012-463,1149444.375
6012-464,1235806.375
6012-465,1947371.875
6012-466,1659561.25
6012-467,1523673.25
6012-468,1639569.875
6012-469,1626865.0
6012-470,1886933.75
6012-471,1155154.375
6012-472,2266639.0
6012-473,3220186.25
6012-474,3011846.0
6012-475,2874537.5
6012-476,1835336.625
6012-477,1347955.75
6012-478,1517259.75
6012-479,2008251.375
6012-480,1023087.875
6012-481,1737173.0
6012-482,1743483.125
6012-483,2893695.0
6012-484,2630305.5
6012-485,1290153.375
6012-486,375525.15625
5719-457,217274.484375
5719-458,241908.375
5719-459,293497.625
5719-460,183061.921875
5719-461,449929.125
5719-462,477703.1875
5719-463,649772.6875
5719-464,291180.28125
5719-465,462706.5
5719-466,409370.1875
5719-467,378917.1875
5719-468,325732.3125
5719-469,377144.875
5719-470,1281188.125
5719-471,600274.6875
5719-472,803596.0625
5719-473,821693.125
5719-474,903078.5
5719-475,768284.0625
5719-476,516439.09375
5719-477,365492.875
5719-478,434248.1875
5719-479,239143.171875
5719-480,106610.15625
5719-481,151940.453125
5719-482,346212.96875
5719-483,1322485.375
5719-484,288891.96875
5719-485,570000.4375
5719-486,128106.1171875
5722-457,2611469.5
5722-458,2594782.0
5722-459,3038726.75
5722-460,2079044.75
5722-461,1751556.0
5722-462,2298720.0
5722-463,1671156.75
5722-464,2225723.25
5722-465,2593253.0
5722-466,1070118.375
5722-467,1591350.375
5722-468,2321670.25
5722-469,1940127.625
5722-470,2185519.25
5722-471,2131421.0
5722-472,2132085.75
5722-473,2212789.75
5722-474,2039055.875
5722-475,2783720.25
5722-476,3244040.75
5722-477,3172031.0
5722-478,2502457.75
5722-479,2918496.5
5722-480,2968040.5
5722-481,2743449.75
5722-482,2378432.0
5722-483,3484961.0
5722-484,3546538.5
5722-485,2505081.75
