id,volume
4814-457,9704982.0
4814-458,10997186.0
4814-459,11535596.0
4814-460,12231984.0
4814-461,12105814.0
4814-462,11740252.0
4814-463,8124630.0
4814-464,8403745.0
4814-465,11062022.0
4814-466,11531724.0
4814-467,12482235.0
4814-468,12482235.0
4814-469,11206644.0
4814-470,8073051.5
4814-471,8050394.5
4814-472,10904156.0
4814-473,11046736.0
4814-474,11125246.0
4814-475,11053312.0
4814-476,10904156.0
4814-477,9541881.0
4814-478,7978815.0
4814-479,10912104.0
4814-480,10912104.0
4814-481,10912104.0
4814-482,10912104.0
4814-483,10912104.0
4814-484,10035842.0
4814-485,7845390.0
4814-486,10750081.0
6011-457,194468928.0
6011-458,325779808.0
6011-459,325779808.0
6011-460,325779808.0
6011-461,325779808.0
6011-462,325779808.0
6011-463,277016768.0
6011-464,173792304.0
6011-465,319205760.0
6011-466,324473792.0
6011-467,324473792.0
6011-468,324473792.0
6011-469,324473792.0
6011-470,277958304.0
6011-471,182603056.0
6011-472,331505184.0
6011-473,331505184.0
6011-474,331505184.0
6011-475,331505184.0
6011-476,331505184.0
6011-477,286626368.0
6011-478,182527840.0
6011-479,331736672.0
6011-480,331736672.0
6011-481,331736672.0
6011-482,326350720.0
6011-483,331736672.0
6011-484,249197776.0
6011-485,188393024.0
6011-486,335114848.0
4829-457,147186480.0
4829-458,301644928.0
4829-459,299082944.0
4829-460,301644928.0
4829-461,301644928.0
4829-462,301644928.0
4829-463,188821120.0
4829-464,125430048.0
4829-465,297345280.0
4829-466,295711328.0
4829-467,295711328.0
4829-468,295711328.0
4829-469,295711328.0
4829-470,176371296.0
4829-471,149464992.0
4829-472,310256480.0
4829-473,310256480.0
4829-474,310256480.0
4829-475,310256480.0
4829-476,310256480.0
4829-477,184484384.0
4829-478,146599792.0
4829-479,282239136.0
4829-480,289851840.0
4829-481,289851840.0
4829-482,289851840.0
4829-483,289851840.0
4829-484,180822288.0
4829-485,151722032.0
4829-486,294846816.0
5499-457,6131681.0
5499-458,5936050.5
5499-459,6139979.0
5499-460,6418572.5
5499-461,6139979.0
5499-462,6716273.0
5499-463,6716273.0
5499-464,5924852.0
5499-465,6008589.5
5499-466,6406452.0
5499-467,6089653.0
5499-468,6285824.0
5499-469,6789159.0
5499-470,6980783.0
5499-471,6038426.0
5499-472,5972096.0
5499-473,6501669.0
5499-474,6270544.0
5499-475,6488228.0
5499-476,6770499.0
5499-477,7231724.5
5499-478,5862184.0
5499-479,5972096.0
5499-480,6379248.0
5499-481,5850065.0
5499-482,6444960.0
5499-483,6894758.0
5499-484,7231724.5
5499-485,6282396.0
5499-486,6139979.0
5541-457,7474431.0
5541-458,7915334.5
5541-459,7915334.5
5541-460,7603570.5
5541-461,7729543.0
5541-462,7640686.0
5541-463,7915334.5
5541-464,7339725.5
5541-465,7839728.0
5541-466,7284663.5
5541-467,7839728.0
5541-468,7789230.5
5541-469,7915334.5
5541-470,7640686.0
5541-471,7567688.5
5541-472,7567688.5
5541-473,7839728.0
5541-474,7640686.0
5541-475,7676899.0
5541-476,7915334.5
5541-477,7915334.5
5541-478,7839728.0
5541-479,7567688.5
5541-480,7640686.0
5541-481,7915334.5
5541-482,7839728.0
5541-483,7839728.0
5541-484,7915334.5
5541-485,7623363.0
5541-486,7829865.5
5200-457,1053888.5
5200-458,1235502.25
5200-459,1021026.375
5200-460,917105.6875
5200-461,1088595.875
5200-462,1130260.625
5200-463,1179509.25
5200-464,942839.0
5200-465,1171005.75
5200-466,1122071.375
5200-467,987380.375
5200-468,1042887.5
5200-469,962579.8125
5200-470,1203660.0
5200-471,1023366.0
5200-472,1294794.125
5200-473,1153977.25
5200-474,1010103.5625
5200-475,962503.625
5200-476,1012540.75
5200-477,1209618.5
5200-478,1024994.25
5200-479,1131667.0
5200-480,1067845.0
5200-481,1045244.3125
5200-482,979179.0
5200-483,1058729.875
5200-484,1233036.25
5200-485,1149562.75
5200-486,1193224.0
5732-457,1918115.125
5732-458,1744912.0
5732-459,1848049.25
5732-460,2123079.0
5732-461,1911563.0
5732-462,1794785.0
5732-463,2403585.25
5732-464,2209106.25
5732-465,2037065.625
5732-466,1909668.0
5732-467,2281531.5
5732-468,2075085.0
5732-469,2036110.0
5732-470,2499552.5
5732-471,2086958.875
5732-472,2701859.25
5732-473,1917754.875
5732-474,2391519.5
5732-475,2241642.25
5732-476,1874459.5
5732-477,2360125.5
5732-478,2102081.75
5732-479,2037011.25
5732-480,1867826.625
5732-481,2304655.25
5732-482,2077124.375
5732-483,1893567.625
5732-484,2460561.25
5732-485,2558049.5
5732-486,2910966.5
6010-457,83323.484375
6010-458,19393062.0
6010-459,8398537.0
6010-460,17282928.0
6010-461,10969156.0
6010-462,12466960.0
6010-463,8076085.5
6010-464,144966.09375
6010-465,14657119.0
6010-466,11831046.0
6010-467,26961706.0
6010-468,11074604.0
6010-469,14869035.0
6010-470,5780360.5
6010-471,180411.578125
6010-472,25042934.0
6010-473,18114702.0
6010-474,25593328.0
6010-475,18527486.0
6010-476,23852192.0
6010-477,2048432.875
6010-478,182238.171875
6010-479,3368006.5
6010-480,6918852.5
6010-481,419266.84375
6010-482,3698396.75
6010-483,8278950.5
6010-484,2106486.75
6010-485,13261.6650390625
6010-486,8355963.0
5331-457,2261062.25
5331-458,7972859.5
5331-459,2402966.5
5331-460,1950600.375
5331-461,2600769.75
5331-462,5132008.5
5331-463,4696290.5
5331-464,4530148.0
5331-465,5641765.0
5331-466,4571499.0
5331-467,3941607.5
5331-468,4123672.75
5331-469,4203148.5
5331-470,5243269.5
5331-471,4590310.5
5331-472,4978973.0
5331-473,4152421.75
5331-474,3846432.0
5331-475,4669316.5
5331-476,4641834.0
5331-477,4771029.0
5331-478,4156546.25
5331-479,4030722.5
5331-480,3705252.5
5331-481,3880613.25
5331-482,3768112.75
5331-483,4364797.0
5331-484,5630848.0
5331-485,4063544.75
5331-486,3841919.0
5912-457,3530549.5
5912-458,4487077.5
5912-459,4375425.0
5912-460,4385350.5
5912-461,4768841.0
5912-462,4852918.5
5912-463,4114771.0
5912-464,3645964.5
5912-465,4922069.0
5912-466,4456049.5
5912-467,4428985.5
5912-468,4776551.0
5912-469,4487077.5
5912-470,4251076.0
5912-471,3601502.0
5912-472,4752270.0
5912-473,4596719.5
5912-474,4498903.5
5912-475,4693232.5
5912-476,4781409.5
5912-477,4361460.0
5912-478,3604285.25
5912-479,4840060.0
5912-480,4716645.5
5912-481,4650913.0
5912-482,4768841.0
5912-483,4772462.5
5912-484,4272479.0
5912-485,3754474.75
5912-486,4916814.5
5411-457,29222812.0
5411-458,27184056.0
5411-459,27184056.0
5411-460,28012752.0
5411-461,29222812.0
5411-462,29957950.0
5411-463,30416488.0
5411-464,29844912.0
5411-465,26946590.0
5411-466,27841342.0
5411-467,27841342.0
5411-468,29152444.0
5411-469,30595700.0
5411-470,30595700.0
5411-471,29844912.0
5411-472,27344326.0
5411-473,28156204.0
5411-474,28667978.0
5411-475,29844912.0
5411-476,30388192.0
5411-477,30595700.0
5411-478,29395102.0
5411-479,27214768.0
5411-480,28431430.0
5411-481,29312128.0
5411-482,29395102.0
5411-483,30048712.0
5411-484,30595700.0
5411-485,29757830.0
5411-486,27344326.0
5812-457,4746517.5
5812-458,3934498.25
5812-459,4192951.5
5812-460,3791427.5
5812-461,4379967.0
5812-462,5111742.0
5812-463,4976794.0
5812-464,5065388.5
5812-465,3804162.0
5812-466,4100128.5
5812-467,3900188.0
5812-468,4582153.5
5812-469,5447517.0
5812-470,5524508.0
5812-471,4420563.0
5812-472,3781396.25
5812-473,4083559.5
5812-474,4171676.5
5812-475,4415599.5
5812-476,4903712.0
5812-477,5125185.5
5812-478,4678044.0
5812-479,3797257.0
5812-480,4148827.5
5812-481,3698372.0
5812-482,4240973.0
5812-483,4697016.0
5812-484,6465663.5
5812-485,4382424.0
5812-486,3611820.75
6012-457,1368716.875
6012-458,1637849.25
6012-459,1862286.125
6012-460,1490253.5
6012-461,1586533.125
6012-462,1659828.75
6012-463,1585029.875
6012-464,1510047.75
6012-465,1527842.0
6012-466,1477813.25
6012-467,1262274.5
6012-468,1436879.75
6012-469,1501961.75
6012-470,1313155.125
6012-471,1526470.0
6012-472,1529854.0
6012-473,1577703.5
6012-474,1486429.75
6012-475,1572617.125
6012-476,1640735.25
6012-477,1442894.25
6012-478,2099930.0
6012-479,1999679.875
6012-480,2174033.75
6012-481,2185446.25
6012-482,1825493.125
6012-483,2335736.75
6012-484,2137907.0
6012-485,2083753.125
6012-486,1939158.25
5719-457,506814.5625
5719-458,374220.96875
5719-459,434635.96875
5719-460,513209.46875
5719-461,440161.71875
5719-462,543657.5
5719-463,552044.0625
5719-464,407036.375
5719-465,395310.0625
5719-466,341465.53125
5719-467,377905.28125
5719-468,309495.5
5719-469,349654.53125
5719-470,509645.125
5719-471,529698.5
5719-472,524470.3125
5719-473,567087.6875
5719-474,513281.4375
5719-475,602923.0
5719-476,578521.3125
5719-477,794931.0
5719-478,721801.4375
5719-479,605370.0
5719-480,440042.09375
5719-481,548866.0
5719-482,638447.0
5719-483,629437.1875
5719-484,936548.875
5719-485,491232.71875
5719-486,481175.375
5722-457,3038477.5
5722-458,2766660.25
5722-459,2696104.0
5722-460,2329081.5
5722-461,2464565.5
5722-462,2758540.25
5722-463,3078848.0
5722-464,2459773.0
5722-465,2248427.25
5722-466,2114483.25
5722-467,1916948.5
5722-468,1929814.0
5722-469,2274701.0
5722-470,2901457.0
5722-471,2468460.75
5722-472,1713979.75
5722-473,2141292.25
5722-474,1745063.5
5722-475,1712254.5
5722-476,2142652.75
5722-477,2727910.75
5722-478,2834485.5
5722-479,1943164.375
5722-480,2128802.5
5722-481,1928678.875
5722-482,1870595.0
5722-483,2152413.75
5722-484,2766317.25
5722-485,3070482.25
5722-486,2000494.375
5621-457,1072359.75
5621-458,947821.8125
5621-459,820341.6875
5621-460,905809.25
5621-461,1085208.375
5621-462,972303.3125
5621-463,1136115.75
5621-464,1182040.75
5621-465,1115717.125
5621-466,1059075.25
5621-467,1143928.5
5621-468,1105860.125
