id,volume
4814-457,9580396.0
4814-458,10792176.0
4814-459,11279362.0
4814-460,12318519.0
4814-461,12030315.0
4814-462,11359699.0
4814-463,8026721.5
4814-464,8293411.5
4814-465,10742580.0
4814-466,10872942.0
4814-467,12025589.0
4814-468,12249822.0
4814-469,10845291.0
4814-470,7918898.0
4814-471,7872048.5
4814-472,10534377.0
4814-473,10635078.0
4814-474,10631103.0
4814-475,10829313.0
4814-476,10534377.0
4814-477,9043191.0
4814-478,7796194.0
4814-479,10618093.0
4814-480,10618093.0
4814-481,10618093.0
4814-482,10365539.0
4814-483,10618093.0
4814-484,9423990.0
4814-485,7704454.5
4814-486,10792176.0
6011-457,203302416.0
6011-458,339342656.0
6011-459,339342656.0
6011-460,339342656.0
6011-461,339342656.0
6011-462,339342656.0
6011-463,288459264.0
6011-464,180565872.0
6011-465,333045856.0
6011-466,333045856.0
6011-467,333045856.0
6011-468,333045856.0
6011-469,333045856.0
6011-470,286150592.0
6011-471,182077552.0
6011-472,329369856.0
6011-473,329369856.0
6011-474,329369856.0
6011-475,329369856.0
6011-476,329369856.0
6011-477,292873312.0
6011-478,182511136.0
6011-479,334187424.0
6011-480,334187424.0
6011-481,334187424.0
6011-482,334187424.0
6011-483,334187424.0
6011-484,252325744.0
6011-485,191074576.0
6011-486,337917184.0
4829-457,149814048.0
4829-458,327026176.0
4829-459,324145952.0
4829-460,327026176.0
4829-461,327026176.0
4829-462,327026176.0
4829-463,199759584.0
4829-464,133713528.0
4829-465,325800320.0
4829-466,325800320.0
4829-467,325800320.0
4829-468,325800320.0
4829-469,325800320.0
4829-470,199019888.0
4829-471,164447232.0
4829-472,325652448.0
4829-473,325652448.0
4829-474,325652448.0
4829-475,325652448.0
4829-476,325652448.0
4829-477,187650320.0
4829-478,164552032.0
4829-479,316139264.0
4829-480,324982304.0
4829-481,324982304.0
4829-482,324982304.0
4829-483,324982304.0
4829-484,204682096.0
4829-485,165822080.0
4829-486,325652448.0
5499-457,6011300.5
5499-458,5758583.0
5499-459,5947502.5
5499-460,6238418.0
5499-461,6057465.5
5499-462,6543164.0
5499-463,6543164.0
5499-464,5851192.0
5499-465,5871606.5
5499-466,6298791.5
5499-467,5867873.0
5499-468,6262160.0
5499-469,6620918.0
5499-470,6824681.0
5499-471,5899677.0
5499-472,5835934.0
5499-473,6325181.5
5499-474,5976266.5
5499-475,6339131.0
5499-476,6731676.0
5499-477,7069998.0
5499-478,5681060.0
5499-479,5835934.0
5499-480,6236396.0
5499-481,5865120.0
